eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-I,,Appendix II,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,,,Fulvous Whistling Duck,Dendrocygna bicolor
Lesser Whistling-Duck,Dendrocygna javanica,lewduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,,,Lesser Whistling Duck,Dendrocygna javanica
Bar-headed Goose,Anser indicus,bahgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,1,,Bar-headed Goose,Anser indicus
Graylag Goose,Anser anser,gragoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Greylag Goose,Anser anser
Greater White-fronted Goose,Anser albifrons,gwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus,lwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-IV,,Appendix I,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Lesser White-fronted Goose,Anser erythropus
Taiga Bean-Goose,Anser fabalis,taibeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Bean Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris,tunbeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Bean Goose,Anser fabalis
Red-breasted Goose,Branta ruficollis,rebgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-IV,Appendix II,Appendix I,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Red-breasted Goose,Branta ruficollis
Mute Swan,Cygnus olor,mutswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Mute Swan,Cygnus olor
Tundra Swan,Cygnus columbianus,tunswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus,whoswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,Whooper Swan,Cygnus cygnus
Knob-billed Duck,Sarkidiornis melanotos,comduc2,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,Appendix II,Appendix II,Moderate,Uncertain,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Resident,,,Knob-billed Duck,Sarkidiornis melanotos
Ruddy Shelduck,Tadorna ferruginea,rudshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,,,Ruddy Shelduck,Tadorna ferruginea
