"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Fulvous Whistling Duck","Dendrocygna bicolor","","X","None","","","24 hour","24 hour","X"
"Lesser Whistling Duck","Dendrocygna javanica","X","X","None","","","24 hour","24 hour","X"
"Bar-headed Goose","Anser indicus","X","X","None","X","","24 hour","24 hour","X"
"Greylag Goose","Anser anser","X","X","None","","","24 hour","24 hour","X"
"Greater White-fronted Goose","Anser albifrons","","","None","","X","24 hour","24 hour",""
"Lesser White-fronted Goose","Anser erythropus","","","None","","X","Diurnal","Diurnal",""
"Bean Goose","Anser fabalis","","","None","","X","24 hour","24 hour",""
"Bean Goose","Anser fabalis","","","None","","X","24 hour","24 hour",""
"Red-breasted Goose","Branta ruficollis","","","None","","X","No information","No information",""
"Mute Swan","Cygnus olor","","","None","","X","24 hour","24 hour",""
"Tundra Swan","Cygnus columbianus","","","None","","X","No information","No information",""
"Whooper Swan","Cygnus cygnus","","","None","","X","No information","No information",""
"Knob-billed Duck","Sarkidiornis melanotos","X","X","None","","","Diurnal","Diurnal","X"
"Ruddy Shelduck","Tadorna ferruginea","X","X","None","","","24 hour","24 hour","X"
"Common Shelduck","Tadorna tadorna","","X","None","","","24 hour","24 hour","X"
"Cotton Pygmy Goose","Nettapus coromandelianus","X","X","None","X","","Diurnal","Diurnal","X"
"Mandarin Duck","Aix galericulata","","","None","","X","24 hour","24 hour",""
"Baikal Teal","Sibirionetta formosa","","","None","","X","24 hour","24 hour",""
"Garganey","Spatula querquedula","X","X","None","","","24 hour","24 hour","X"
"Northern Shoveler","Spatula clypeata","X","X","None","","","24 hour","24 hour","X"
"Gadwall","Mareca strepera","X","X","None","","","24 hour","24 hour","X"
"Falcated Duck","Mareca falcata","","","None","","","24 hour","24 hour",""
"Eurasian Wigeon","Mareca penelope","X","X","None","","","24 hour","24 hour","X"
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","None","","","24 hour","24 hour","X"
"Eastern Spot-billed Duck","Anas zonorhyncha","","","None","","X","24 hour","24 hour",""
"Mallard","Anas platyrhynchos","X","X","None","","","24 hour","24 hour","X"
"Northern Pintail","Anas acuta","X","X","None","","","24 hour","24 hour","X"
"Common Teal","Anas crecca","X","X","None","","","24 hour","24 hour","X"
"Andaman Teal","Anas albogularis","","X","Andaman Islands","","","24 hour","24 hour","X"
"Marbled Teal","Marmaronetta angustirostris","","","None","X","","Diurnal","Diurnal","X"
"Pink-headed Duck","Rhodonessa caryophyllacea","","","None","","","No information","No information",""
"White-winged Wood Duck","Asarcornis scutulata","","X","None","X","","24 hour","24 hour","X"
"Red-crested Pochard","Netta rufina","X","X","None","","","Diurnal","Diurnal","X"
"Common Pochard","Aythya ferina","X","X","None","","","24 hour","24 hour","X"
"Ferruginous Duck","Aythya nyroca","X","X","None","","","24 hour","24 hour","X"
"Baer's Pochard","Aythya baeri","","","None","X","","Diurnal","Diurnal","X"
"Tufted Duck","Aythya fuligula","X","X","None","","","24 hour","24 hour","X"
"Greater Scaup","Aythya marila","","","None","","X","24 hour","24 hour",""
"Long-tailed Duck","Clangula hyemalis","","","None","","X","No information","No information",""
"Common Goldeneye","Bucephala clangula","","","None","","X","Diurnal","Diurnal",""
"Smew","Mergellus albellus","","","None","","X","Diurnal","Diurnal",""
"Common Merganser","Mergus merganser","X","X","None","","","24 hour","24 hour","X"
"Red-breasted Merganser","Mergus serrator","","","None","","X","24 hour","24 hour",""
"White-headed Duck","Oxyura leucocephala","","","None","","X","No information","No information",""
"Nicobar Megapode","Megapodius nicobariensis","","","Nicobar Islands","","","24 hour","24 hour","X"
"Hill Partridge","Arborophila torqueola","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Chestnut-breasted Partridge","Arborophila mandellii","","","Eastern Himalayas","X","","Diurnal","Diurnal","X"
"Rufous-throated Partridge","Arborophila rufogularis","","X","None","","","Diurnal","Diurnal","X"
"White-cheeked Partridge","Arborophila atrogularis","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Snow Partridge","Lerwa lerwa","","","None","","","Diurnal","Diurnal",""
"Blood Pheasant","Ithaginis cruentus","","","None","X","","Diurnal","Diurnal","X"
"Western Tragopan","Tragopan melanocephalus","","","Western Himalayas","X","","Diurnal","Diurnal","X"
"Satyr Tragopan","Tragopan satyra","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Blyth's Tragopan","Tragopan blythii","","","Eastern Himalayas","X","","Diurnal","Diurnal","X"
"Temminck's Tragopan","Tragopan temminckii","","","None","","","Diurnal","Diurnal",""
"Himalayan Monal","Lophophorus impejanus","","X","Himalayas","X","","Diurnal","Diurnal","X"
"Sclater's Monal","Lophophorus sclateri","","","Eastern Himalayas","X","","Diurnal","Diurnal","X"
"Koklass Pheasant","Pucrasia macrolopha","","X","None","","","Diurnal","Diurnal","X"
"Tibetan Partridge","Perdix hodgsoniae","","","None","","","Diurnal","Diurnal",""
"Mrs Hume's Pheasant","Syrmaticus humiae","","","None","","X","Diurnal","Diurnal",""
"Cheer Pheasant","Catreus wallichii","","","Western Himalayas","X","","Diurnal","Diurnal","X"
"Kalij Pheasant","Lophura leucomelanos","X","X","None","","","Diurnal","Diurnal","X"
"Indian Peafowl","Pavo cristatus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Green Peafowl","Pavo muticus","","","None","","X","Diurnal","Diurnal",""
"Red Spurfowl","Galloperdix spadicea","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Painted Spurfowl","Galloperdix lunulata","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Grey Peacock Pheasant","Polyplectron bicalcaratum","","","None","","","Diurnal","Diurnal",""
"Mountain Bamboo Partridge","Bambusicola fytchii","","","None","","","Diurnal","Diurnal",""
"Red Junglefowl","Gallus gallus","X","X","None","","","Diurnal","Diurnal","X"
"Grey Junglefowl","Gallus sonneratii","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Grey Francolin","Francolinus pondicerianus","X","X","None","","","Diurnal","Diurnal","X"
"Swamp Francolin","Francolinus gularis","","X","Indian Subcontinent","X","","Diurnal","Diurnal","X"
"Chinese Francolin","Francolinus pintadeanus","","","None","","","Diurnal","Diurnal",""
"Black Francolin","Francolinus francolinus","X","X","None","","","Diurnal","Diurnal","X"
"Painted Francolin","Francolinus pictus","","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Tibetan Snowcock","Tetraogallus tibetanus","","","None","","","Diurnal","Diurnal",""
"Himalayan Snowcock","Tetraogallus himalayensis","","X","Himalayas","","","Diurnal","Diurnal","X"
"Blue-breasted Quail","Synoicus chinensis","","","None","","","24 hour","24 hour",""
"Common Quail","Coturnix coturnix","","X","None","","","24 hour","Diurnal","X"
"Japanese Quail","Coturnix japonica","","","None","","X","No information","No information",""
"Rain Quail","Coturnix coromandelica","X","X","None","","","24 hour","Diurnal","X"
"Chukar Partridge","Alectoris chukar","X","X","None","","","Diurnal","Diurnal","X"
"Jungle Bush Quail","Perdicula asiatica","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Rock Bush Quail","Perdicula argoondah","","X","Mainland India","","","Diurnal","Diurnal","X"
"Painted Bush Quail","Perdicula erythrorhyncha","","X","Mainland India","","","Diurnal","Diurnal","X"
"Manipur Bush Quail","Perdicula manipurensis","","","Assam Plains","","","Diurnal","Diurnal","X"
"Himalayan Quail","Ophrysia superciliosa","","","Western Himalayas","","","Diurnal","Diurnal","X"
"Greater Flamingo","Phoenicopterus roseus","X","X","None","","","24 hour","24 hour","X"
"Lesser Flamingo","Phoeniconaias minor","X","X","None","","","24 hour","24 hour","X"
"Little Grebe","Tachybaptus ruficollis","X","X","None","","","24 hour","Diurnal","X"
"Horned Grebe","Podiceps auritus","","","None","","X","Diurnal","24 hour",""
"Red-necked Grebe","Podiceps grisegena","","","None","","X","24 hour","24 hour",""
