"scientific_name"
"Dendrocygna javanica"
"Nettapus coromandelianus"
"Spatula querquedula"
"Anas poecilorhyncha"
"Anas acuta"
"Pavo cristatus"
"Galloperdix spadicea"
"Gallus sonneratii"
"Ortygornis pondicerianus"
"Tachybaptus ruficollis"
"Columba livia"
"Columba elphinstonii"
"Streptopelia chinensis"
"Streptopelia senegalensis"
"Chalcophaps indica"
"Treron affinis"
"Ducula aenea"
"Ducula badia"
"Centropus sinensis"
"Taccocua leschenaultii"
"Eudynamys scolopaceus"
"Hierococcyx varius"
"Batrachostomus moniliger"
"Aerodramus unicolor"
"Apus affinis"
"Cypsiurus balasiensis"
"Fulica atra"
"Porphyrio poliocephalus"
"Amaurornis phoenicurus"
"Himantopus himantopus"
"Pluvialis fulva"
"Vanellus indicus"
"Charadrius mongolus"
"Charadrius dubius"
"Hydrophasianus chirurgus"
"Metopidius indicus"
"Numenius phaeopus"
"Calidris alba"
"Calidris minuta"
"Actitis hypoleucos"
"Tringa nebularia"
"Tringa stagnatilis"
"Tringa glareola"
"Tringa totanus"
"Chroicocephalus ridibundus"
"Chroicocephalus brunnicephalus"
"Chlidonias hybrida"
"Sterna aurantia"
"Thalasseus bergii"
"Thalasseus bengalensis"
"Anastomus oscitans"
"Ciconia episcopus"
"Mycteria leucocephala"
"Anhinga melanogaster"
"Microcarbo niger"
"Phalacrocorax carbo"
"Phalacrocorax fuscicollis"
"Ardea cinerea"
"Ardea purpurea"
"Ardea alba"
"Ardea intermedia"
"Egretta garzetta"
"Egretta gularis"
"Bubulcus ibis"
"Ardeola grayii"
"Nycticorax nycticorax"
"Plegadis falcinellus"
"Threskiornis melanocephalus"
"Pernis ptilorhynchus"
"Sarcogyps calvus"
"Gyps bengalensis"
"Spilornis cheela"
"Nisaetus cirrhatus"
"Ictinaetus malaiensis"
"Clanga clanga"
"Circus aeruginosus"
"Accipiter badius"
"Milvus migrans"
"Haliastur indus"
"Haliaeetus leucogaster"
"Glaucidium radiatum"
"Harpactes fasciatus"
"Upupa epops"
"Ocyceros birostris"
"Ocyceros griseus"
"Alcedo atthis"
"Pelargopsis capensis"
"Halcyon smyrnensis"
"Ceryle rudis"
"Merops orientalis"
"Merops philippinus"
"Merops leschenaulti"
"Coracias benghalensis"
"Psilopogon malabaricus"
"Psilopogon haemacephalus"
"Psilopogon zeylanicus"
"Psilopogon viridis"
"Hemicircus canente"
"Yungipicus nanus"
"Chrysocolaptes guttacristatus"
"Dinopium benghalense"
"Picus chlorolophus"
"Psittacula krameri"
"Psittacula cyanocephala"
"Psittacula columboides"
"Loriculus vernalis"
"Pitta brachyura"
"Pericrocotus cinnamomeus"
"Pericrocotus flammeus"
"Coracina macei"
"Oriolus kundoo"
"Oriolus xanthornus"
"Artamus fuscus"
"Tephrodornis sylvicola"
"Tephrodornis pondicerianus"
"Hemipus picatus"
"Aegithina tiphia"
"Dicrurus macrocercus"
"Dicrurus leucophaeus"
"Dicrurus caerulescens"
"Dicrurus aeneus"
"Dicrurus paradiseus"
"Hypothymis azurea"
"Terpsiphone paradisi"
"Lanius cristatus"
"Lanius schach"
"Dendrocitta vagabunda"
"Dendrocitta leucogastra"
"Corvus splendens"
"Corvus macrorhynchos"
"Culicicapa ceylonensis"
"Parus cinereus"
"Machlolophus aplonotus"
"Mirafra affinis"
"Orthotomus sutorius"
"Prinia hodgsonii"
"Prinia sylvatica"
"Prinia socialis"
"Prinia inornata"
"Cisticola juncidis"
"Cisticola exilis"
"Acrocephalus dumetorum"
"Acrocephalus stentoreus"
"Ptyonoprogne concolor"
"Hirundo rustica"
"Hirundo smithii"
"Hirundo domicola"
"Cecropis daurica"
"Brachypodius priocephalus"
"Rubigula gularis"
"Pycnonotus cafer"
"Pycnonotus jocosus"
"Pycnonotus xantholaemus"
"Pycnonotus luteolus"
"Iole indica"
"Hypsipetes ganeesa"
"Phylloscopus affinis"
"Phylloscopus nitidus"
"Phylloscopus trochiloides"
"Phylloscopus magnirostris"
"Chrysomma sinense"
"Zosterops palpebrosus"
"Dumetia hyperythra"
"Dumetia atriceps"
"Pomatorhinus horsfieldii"
"Pellorneum ruficeps"
"Alcippe poioicephala"
"Montecincla fairbanki"
"Montecincla meridionalis"
"Argya subrufa"
"Argya striata"
"Argya affinis"
"Sitta frontalis"
"Gracula indica"
"Pastor roseus"
"Sturnia malabarica"
"Sturnia blythii"
"Acridotheres tristis"
"Acridotheres fuscus"
"Geokichla citrina"
"Turdus simillimus"
"Muscicapa dauurica"
"Muscicapa muttui"
"Copsychus fulicatus"
"Copsychus saularis"
"Sholicola albiventris"
"Cyornis pallidipes"
"Cyornis tickelliae"
"Eumyias albicaudatus"
"Myophonus horsfieldii"
"Ficedula nigrorufa"
"Saxicola caprata"
"Dicaeum erythrorhynchos"
"Dicaeum concolor"
"Leptocoma zeylonica"
"Leptocoma minima"
"Cinnyris asiaticus"
"Cinnyris lotenius"
"Arachnothera longirostra"
"Irena puella"
"Chloropsis jerdoni"
"Chloropsis aurifrons"
"Ploceus philippinus"
"Lonchura punctulata"
"Lonchura striata"
"Passer domesticus"
"Motacilla cinerea"
"Motacilla flava"
"Motacilla maderaspatensis"
"Anthus rufulus"
"Anthus nilghiriensis"
"Carpodacus erythrinus"
