"scientific_name"
"Dendrocygna javanica"
"Tadorna ferruginea"
"Spatula clypeata"
"Mareca strepera"
"Anas poecilorhyncha"
"Anas albogularis"
"Megapodius nicobariensis"
"Pavo cristatus"
"Gallus gallus"
"Gallus sonneratii"
"Francolinus francolinus"
"Alectoris chukar"
"Perdicula manipurensis"
"Tachybaptus ruficollis"
"Columba livia"
"Columba rupestris"
"Columba palumboides"
"Streptopelia decaocto"
"Streptopelia tranquebarica"
"Streptopelia chinensis"
"Streptopelia senegalensis"
"Macropygia rufipennis"
"Treron chloropterus"
"Treron phoenicopterus"
"Ducula nicobarica"
"Centropus andamanensis"
"Centropus sinensis"
"Phaenicophaeus tristis"
"Eudynamys scolopaceus"
"Hierococcyx varius"
"Apus affinis"
"Cypsiurus balasiensis"
"Gallinula chloropus"
"Fulica atra"
"Porphyrio poliocephalus"
"Amaurornis phoenicurus"
"Antigone antigone"
"Himantopus himantopus"
"Vanellus duvaucelii"
"Vanellus indicus"
"Charadrius dubius"
"Metopidius indicus"
"Actitis hypoleucos"
"Tringa ochropus"
"Tringa glareola"
"Sterna aurantia"
"Anastomus oscitans"
"Ciconia episcopus"
"Leptoptilos javanicus"
"Mycteria leucocephala"
"Microcarbo niger"
"Phalacrocorax carbo"
"Phalacrocorax fuscicollis"
"Pelecanus onocrotalus"
"Ardea cinerea"
"Ardea purpurea"
"Ardea alba"
"Ardea intermedia"
"Egretta garzetta"
"Bubulcus ibis"
"Ardeola grayii"
"Threskiornis melanocephalus"
"Pseudibis papillosa"
"Platalea leucorodia"
"Elanus caeruleus"
"Gypaetus barbatus"
"Neophron percnopterus"
"Pernis ptilorhynchus"
"Gyps himalayensis"
"Spilornis klossi"
"Spilornis cheela"
"Spilornis elgini"
"Accipiter badius"
"Accipiter butleri"
"Milvus migrans"
"Haliastur indus"
"Glaucidium cuculoides"
"Glaucidium radiatum"
"Athene blewitti"
"Upupa epops"
"Ocyceros birostris"
"Rhyticeros narcondami"
"Alcedo atthis"
"Halcyon smyrnensis"
"Todiramphus chloris"
"Ceryle rudis"
"Merops orientalis"
"Coracias benghalensis"
"Coracias affinis"
"Psilopogon haemacephalus"
"Psilopogon virens"
"Psilopogon lineatus"
"Psilopogon zeylanicus"
"Psilopogon viridis"
"Psilopogon asiaticus"
"Dendrocoptes auriceps"
"Dendrocopos himalayensis"
"Dinopium benghalense"
"Picus squamatus"
"Picus canus"
"Dryocopus hodgei"
"Psittacula eupatria"
"Psittacula krameri"
"Psittacula himalayana"
"Psittacula cyanocephala"
"Psittacula caniceps"
"Psittacula longicauda"
"Loriculus vernalis"
"Pericrocotus cinnamomeus"
"Pericrocotus flammeus"
"Pericrocotus speciosus"
"Oriolus kundoo"
"Oriolus xanthornus"
"Aegithina tiphia"
"Rhipidura albicollis"
"Rhipidura albogularis"
"Rhipidura aureola"
"Dicrurus macrocercus"
"Dicrurus leucophaeus"
"Dicrurus caerulescens"
"Dicrurus aeneus"
"Dicrurus andamanensis"
"Dicrurus paradiseus"
"Terpsiphone paradisi"
"Lanius cristatus"
"Lanius vittatus"
"Lanius schach"
"Lanius tephronotus"
"Garrulus lanceolatus"
"Urocissa flavirostris"
"Urocissa erythroryncha"
"Dendrocitta vagabunda"
"Dendrocitta formosae"
"Dendrocitta bayleii"
"Pyrrhocorax pyrrhocorax"
"Pyrrhocorax graculus"
"Corvus splendens"
"Corvus macrorhynchos"
"Corvus corax"
"Periparus ater"
"Parus monticolus"
"Parus cinereus"
"Ammomanes phoenicura"
"Eremopterix griseus"
"Mirafra affinis"
"Eremophila alpestris"
"Galerida cristata"
"Orthotomus sutorius"
"Prinia socialis"
"Prinia inornata"
"Acrocephalus dumetorum"
"Ptyonoprogne concolor"
"Hirundo rustica"
