"scientific_name","n_grids"
"Accipiter badius",91
"Accipiter nisus",22
"Accipiter trivirgatus",69
"Accipiter virgatus",48
"Acridotheres fuscus",87
"Acridotheres tristis",95
"Acrocephalus agricola",34
"Acrocephalus dumetorum",90
"Acrocephalus stentoreus",76
"Actitis hypoleucos",82
"Aegithina tiphia",89
"Aegypius monachus",2
"Aerodramus unicolor",87
"Agropsar sturninus",5
"Alauda gulgula",50
"Alcedo atthis",88
"Alcedo meninting",19
"Alcippe poioicephala",52
"Amandava amandava",29
"Amaurornis phoenicurus",85
"Ammomanes phoenicura",6
"Anas acuta",43
"Anas crecca",31
"Anas poecilorhyncha",57
"Anastomus oscitans",79
"Anhinga melanogaster",81
"Anous stolidus",1
"Anous tenuirostris",2
"Anser indicus",12
"Anthracoceros coronatus",39
"Anthus campestris",18
"Anthus cervinus",3
"Anthus godlewskii",34
"Anthus hodgsoni",17
"Anthus nilghiriensis",6
"Anthus richardi",29
"Anthus rufulus",83
"Anthus similis",14
"Anthus trivialis",26
"Apus affinis",88
"Apus apus",3
"Apus leuconyx",40
"Apus melba",83
"Aquila fasciata",40
"Aquila heliaca",1
"Aquila nipalensis",12
"Arachnothera longirostra",69
"Ardea alba",81
"Ardea cinerea",74
"Ardea intermedia",85
"Ardea purpurea",78
"Ardenna carneipes",4
"Ardeola bacchus",1
"Ardeola grayii",92
"Arenaria interpres",21
"Argya affinis",85
"Argya malcolmi",6
"Argya striata",91
"Argya subrufa",72
"Artamus fuscus",85
"Arundinax aedon",54
"Asio flammeus",4
"Athene brama",72
"Aviceda jerdoni",7
"Aviceda leuphotes",49
"Aythya fuligula",2
"Aythya nyroca",4
"Batrachostomus moniliger",38
"Botaurus stellaris",2
"Brachypodius priocephalus",58
"Bubo nipalensis",40
"Bubulcus ibis",89
"Buceros bicornis",1
"Bulweria fallax",1
"Burhinus indicus",13
"Butastur teesa",40
"Buteo buteo",41
"Butorides striata",80
"Cacomantis passerinus",78
"Cacomantis sonneratii",68
"Calandrella dukhunensis",29
"Calidris alba",23
"Calidris alpina",15
"Calidris falcinellus",18
"Calidris ferruginea",22
"Calidris melanotos",1
"Calidris minuta",39
"Calidris pugnax",25
"Calidris subminuta",9
"Calidris subruficollis",1
"Calidris temminckii",37
"Calidris tenuirostris",10
"Calonectris diomedea",1
"Caprimulgus affinis",29
"Caprimulgus asiaticus",38
"Caprimulgus atripennis",59
"Caprimulgus indicus",51
"Carpodacus erythrinus",51
"Carpospiza brachydactyla",1
"Cecropis daurica",88
"Centropus bengalensis",42
"Centropus sinensis",93
"Ceryle rudis",73
"Ceyx erithaca",34
"Chalcophaps indica",84
"Charadrius alexandrinus",40
"Charadrius asiaticus",1
"Charadrius dubius",60
"Charadrius hiaticula",13
"Charadrius leschenaultii",27
"Charadrius mongolus",36
"Chlamydotis macqueenii",2
"Chlidonias hybrida",65
"Chlidonias leucopterus",9
"Chloropsis aurifrons",80
"Chloropsis jerdoni",80
"Chroicocephalus brunnicephalus",31
"Chroicocephalus genei",17
"Chroicocephalus ridibundus",33
"Chrysocolaptes festivus",7
"Chrysocolaptes guttacristatus",86
"Chrysomma sinense",9
"Ciconia ciconia",17
"Ciconia episcopus",76
"Ciconia nigra",15
"Cinnyris asiaticus",90
"Cinnyris lotenius",88
"Circaetus gallicus",26
"Circus aeruginosus",65
"Circus macrourus",39
"Circus melanoleucos",5
"Circus pygargus",26
"Circus spilonotus",2
"Cisticola exilis",8
"Cisticola juncidis",70
"Clamator coromandus",25
"Clamator jacobinus",70
"Clanga clanga",32
"Clanga hastata",27
"Columba elphinstonii",38
"Columba livia",91
"Copsychus fulicatus",76
"Copsychus malabaricus",42
"Copsychus saularis",92
"Coracias benghalensis",85
"Coracias garrulus",14
"Coracina macei",77
"Corvus macrorhynchos",91
"Corvus splendens",94
"Cuculus canorus",45
"Cuculus micropterus",65
"Cuculus poliocephalus",15
"Culicicapa ceylonensis",45
"Curruca crassirostris",4
"Curruca curruca",19
"Cursorius coromandelicus",1
"Cyanoptila cyanomelana",4
"Cyornis pallidipes",54
"Cyornis rubeculoides",63
"Cyornis tickelliae",73
"Cypsiurus balasiensis",88
"Delichon dasypus",1
"Delichon urbicum",14
"Dendrocitta leucogastra",57
"Dendrocitta vagabunda",91
"Dendrocygna bicolor",2
"Dendrocygna javanica",74
"Dendronanthus indicus",68
"Dicaeum agile",59
"Dicaeum concolor",75
"Dicaeum erythrorhynchos",90
"Dicrurus aeneus",86
"Dicrurus caerulescens",37
"Dicrurus hottentottus",43
"Dicrurus leucophaeus",86
"Dicrurus macrocercus",91
"Dicrurus paradiseus",90
"Dinopium benghalense",89
"Dinopium javanense",45
"Dromas ardeola",8
"Dryocopus javensis",47
"Ducula aenea",63
"Ducula badia",60
"Dumetia atriceps",60
"Dumetia hyperythra",40
"Egretta garzetta",89
"Egretta gularis",52
"Elanus caeruleus",82
"Emberiza bruniceps",20
"Emberiza buchanani",25
"Emberiza fucata",1
"Emberiza hortulana",1
"Emberiza lathami",2
"Emberiza melanocephala",10
"Emberiza pusilla",3
"Eremopterix griseus",24
"Esacus recurvirostris",10
"Eudynamys scolopaceus",89
"Eumyias albicaudatus",33
"Eumyias thalassinus",65
"Euodice malabarica",11
"Eurystomus orientalis",42
"Falco amurensis",26
"Falco chicquera",10
"Falco naumanni",8
"Falco peregrinus",70
"Falco severus",2
"Falco subbuteo",7
"Falco tinnunculus",72
"Ficedula albicilla",22
"Ficedula nigrorufa",21
"Ficedula parva",3
"Ficedula ruficauda",52
"Ficedula subrubra",3
"Ficedula superciliaris",1
"Ficedula zanthopygia",4
"Fregata andrewsi",2
"Fregata ariel",7
"Fregata minor",5
"Fulica atra",46
"Galerida deva",1
"Galerida malabarica",46
"Gallicrex cinerea",50
"Gallinago gallinago",58
"Gallinago nemoricola",2
"Gallinago stenura",56
"Gallinula chloropus",51
"Galloperdix lunulata",7
"Galloperdix spadicea",76
"Gallus sonneratii",73
"Gelochelidon nilotica",33
"Geokichla citrina",85
"Geokichla wardii",6
"Glareola lactea",40
"Glareola maldivarum",13
"Glareola pratincola",11
"Glaucidium radiatum",87
"Gorsachius melanolophus",21
"Gracula indica",65
"Gygis alba",3
"Gymnoris xanthocollis",64
"Gyps bengalensis",8
"Gyps fulvus",1
"Gyps himalayensis",4
"Gyps indicus",2
"Haematopus ostralegus",13
"Halcyon pileata",53
"Halcyon smyrnensis",92
"Haliaeetus humilis",32
"Haliaeetus ichthyaetus",6
"Haliaeetus leucogaster",28
"Haliastur indus",92
"Harpactes fasciatus",62
"Helopsaltes certhiola",11
"Hemicircus canente",68
"Hemiprocne coronata",58
"Hemipus picatus",58
"Hieraaetus pennatus",83
"Hierococcyx sparverioides",25
"Hierococcyx varius",86
"Himantopus himantopus",50
"Hirundapus giganteus",76
"Hirundo domicola",38
"Hirundo rustica",90
"Hirundo smithii",54
"Hydrobates monorhis",3
"Hydrophasianus chirurgus",49
"Hydroprogne caspia",17
"Hypothymis azurea",75
"Hypsipetes ganeesa",50
"Ichthyaetus ichthyaetus",18
"Ictinaetus malaiensis",70
"Iduna caligata",54
"Iduna rama",31
"Iole indica",78
"Irena puella",65
"Ixobrychus cinnamomeus",60
"Ixobrychus flavicollis",61
"Ixobrychus minutus",1
"Ixobrychus sinensis",50
"Jynx torquilla",22
"Ketupa zeylonensis",72
"Lalage melanoptera",83
"Lanius cristatus",89
"Lanius isabellinus",1
"Lanius schach",79
"Lanius vittatus",54
"Larus cachinnans",2
"Larus canus",1
"Larus fuscus",33
"Larvivora brunnea",42
"Leiopicus mahrattensis",44
"Leptocoma minima",73
"Leptocoma zeylonica",93
"Leptoptilos javanicus",6
"Lewinia striata",29
"Limnodromus scolopaceus",1
"Limnodromus semipalmatus",1
"Limosa lapponica",23
"Limosa limosa",30
"Locustella naevia",14
"Lonchura kelaarti",68
"Lonchura malacca",72
"Lonchura punctulata",79
"Lonchura striata",84
"Lophotriorchis kienerii",58
"Loriculus vernalis",89
"Luscinia svecica",11
"Lymnocryptes minimus",3
"Lyncornis macrotis",25
"Machlolophus aplonotus",46
"Mareca penelope",14
"Mareca strepera",7
"Merops apiaster",1
"Merops leschenaulti",86
"Merops orientalis",88
"Merops persicus",12
"Merops philippinus",85
"Merops viridis",1
"Metopidius indicus",62
"Microcarbo niger",86
"Micropternus brachyurus",81
"Milvus migrans",84
"Mirafra affinis",52
"Montecincla cachinnans",3
"Montecincla fairbanki",14
"Montecincla jerdoni",4
"Montecincla meridionalis",3
"Monticola cinclorhyncha",59
"Monticola saxatilis",1
"Monticola solitarius",49
"Motacilla alba",58
"Motacilla cinerea",88
"Motacilla citreola",12
"Motacilla flava",82
"Motacilla maderaspatensis",85
"Motacilla tschutschensis",4
"Muscicapa dauurica",87
"Muscicapa muttui",74
"Muscicapa striata",1
"Mycteria leucocephala",56
"Myophonus horsfieldii",71
"Neophron percnopterus",6
"Nettapus coromandelianus",52
"Ninox scutulata",76
"Nisaetus cirrhatus",80
"Nisaetus kelaarti",37
"Numenius arquata",31
"Numenius phaeopus",29
"Nycticorax nycticorax",69
"Nyctyornis athertoni",54
"Oceanites oceanicus",8
"Ocyceros birostris",46
"Ocyceros griseus",72
"Oenanthe isabellina",10
"Oenanthe pleschanka",1
"Onychoprion anaethetus",10
"Onychoprion fuscatus",9
"Oriolus chinensis",81
"Oriolus kundoo",90
"Oriolus xanthornus",90
"Orthotomus sutorius",90
"Ortygornis pondicerianus",21
"Otus bakkamoena",83
"Otus brucei",2
"Otus sunia",41
"Pandion haliaetus",59
"Parus cinereus",65
"Passer domesticus",86
"Passer hispaniolensis",1
"Pastor roseus",78
"Pavo cristatus",87
"Pelargopsis capensis",85
"Pelecanus onocrotalus",1
"Pelecanus philippensis",23
"Pellorneum ruficeps",70
"Perdicula asiatica",27
"Perdicula erythrorhyncha",24
"Pericrocotus cinnamomeus",76
"Pericrocotus divaricatus",3
"Pericrocotus flammeus",80
"Pernis apivorus",1
"Pernis ptilorhynchus",87
"Petrochelidon fluvicola",42
"Phaenicophaeus viridirostris",60
"Phaethon aethereus",2
"Phaethon lepturus",4
"Phalacrocorax carbo",59
"Phalacrocorax fuscicollis",82
"Phalaropus lobatus",1
"Phodilus assimilis",14
"Phoeniconaias minor",1
"Phoenicopterus roseus",11
"Phoenicurus ochruros",2
"Phylloscopus affinis",37
"Phylloscopus collybita",1
"Phylloscopus fuscatus",1
"Phylloscopus humei",3
"Phylloscopus inornatus",3
"Phylloscopus magnirostris",63
"Phylloscopus nitidus",85
"Phylloscopus occipitalis",55
"Phylloscopus trochiloides",89
"Phylloscopus trochilus",2
"Phylloscopus tytleri",16
"Picumnus innominatus",39
"Picus chlorolophus",73
"Picus xanthopygaeus",58
"Pitta brachyura",79
"Platalea leucorodia",27
"Plegadis falcinellus",53
"Ploceus manyar",27
"Ploceus philippinus",60
"Pluvialis dominica",1
"Pluvialis fulva",42
"Pluvialis squatarola",28
"Pomatorhinus horsfieldii",57
"Porphyrio poliocephalus",58
"Porzana porzana",1
"Prinia hodgsonii",85
"Prinia inornata",83
"Prinia socialis",84
"Prinia sylvatica",12
"Pseudibis papillosa",3
"Psilopogon haemacephalus",88
"Psilopogon malabaricus",65
"Psilopogon viridis",92
"Psilopogon zeylanicus",17
"Psittacula alexandri",2
"Psittacula columboides",65
"Psittacula cyanocephala",86
"Psittacula eupatria",7
"Psittacula krameri",88
"Pterocles exustus",1
"Pterorhinus delesserti",35
"Ptyonoprogne concolor",57
"Puffinus bailloni",1
"Pycnonotus cafer",91
"Pycnonotus jocosus",93
"Pycnonotus luteolus",77
"Pycnonotus xantholaemus",6
"Rallina eurizonoides",35
"Recurvirostra avosetta",8
"Rhipidura albogularis",2
"Rhipidura aureola",42
"Riparia riparia",7
"Rissa tridactyla",1
"Rostratula benghalensis",40
"Rubigula gularis",62
"Sarcogyps calvus",7
"Sarkidiornis melanotos",17
"Saxicola caprata",69
"Saxicola maurus",45
"Schoenicola platyurus",18
"Schoenicola striatus",5
"Scolopax rusticola",2
"Sholicola albiventris",10
"Sholicola major",7
"Sitta castanea",5
"Sitta frontalis",58
"Spatula clypeata",31
"Spatula querquedula",43
"Spilornis cheela",85
"Stercorarius antarcticus",2
"Stercorarius longicaudus",2
"Stercorarius parasiticus",10
"Stercorarius pomarinus",3
"Sterna acuticauda",2
"Sterna aurantia",62
"Sterna hirundo",29
"Sternula albifrons",29
"Sternula saundersi",1
"Streptopelia chinensis",89
"Streptopelia decaocto",10
"Streptopelia orientalis",45
"Streptopelia senegalensis",14
"Streptopelia tranquebarica",8
"Strix leptogrammica",35
"Strix ocellata",67
"Sturnia blythii",83
"Sturnia malabarica",83
"Sturnia pagodarum",76
"Sturnus vulgaris",1
"Sula dactylatra",12
"Sula sula",3
"Surniculus dicruroides",74
"Sylvia atricapilla",1
"Synoicus chinensis",1
"Taccocua leschenaultii",10
"Tachybaptus ruficollis",68
"Tadorna ferruginea",7
"Tephrodornis pondicerianus",75
"Tephrodornis sylvicola",64
"Terpsiphone paradisi",88
"Thalasseus bengalensis",30
"Thalasseus bergii",28
"Thalasseus sandvicensis",16
"Threskiornis melanocephalus",75
"Treron affinis",78
"Treron bicinctus",29
"Treron phoenicopterus",66
"Tringa erythropus",15
"Tringa glareola",67
"Tringa nebularia",55
"Tringa ochropus",78
"Tringa stagnatilis",43
"Tringa totanus",37
"Turdus obscurus",1
"Turdus simillimus",65
"Turnix suscitator",24
"Turnix tanki",15
"Tyto alba",63
"Tyto longimembris",1
"Upupa epops",74
"Vanellus cinereus",21
"Vanellus gregarius",1
"Vanellus indicus",85
"Vanellus leucurus",4
"Vanellus malabaricus",55
"Xenus cinereus",26
"Yungipicus nanus",78
"Zapornia fusca",49
"Zapornia pusilla",29
"Zoonavena sylvatica",55
"Zoothera neilgherriensis",18
"Zosterops palpebrosus",52
