"scientific_name","n_grids"
"Accipiter badius",244
"Accipiter nisus",38
"Accipiter trivirgatus",30
"Accipiter virgatus",14
"Acridotheres fuscus",103
"Acridotheres tristis",253
"Acrocephalus agricola",37
"Acrocephalus dumetorum",236
"Acrocephalus stentoreus",134
"Actitis hypoleucos",207
"Aegithina nigrolutea",39
"Aegithina tiphia",205
"Aegypius monachus",4
"Aerodramus unicolor",44
"Agropsar sturninus",4
"Alauda gulgula",146
"Alcedo atthis",228
"Alcedo meninting",2
"Alcippe poioicephala",41
"Amandava amandava",77
"Amaurornis phoenicurus",233
"Ammomanes phoenicura",75
"Anas acuta",139
"Anas crecca",63
"Anas platyrhynchos",1
"Anas poecilorhyncha",205
"Anastomus oscitans",214
"Anhinga melanogaster",188
"Anous stolidus",3
"Anous tenuirostris",3
"Anser anser",3
"Anser indicus",48
"Anthracoceros coronatus",8
"Anthus campestris",53
"Anthus cervinus",1
"Anthus godlewskii",59
"Anthus hodgsoni",24
"Anthus nilghiriensis",10
"Anthus richardi",38
"Anthus rufulus",223
"Anthus similis",9
"Anthus trivialis",67
"Apus affinis",194
"Apus apus",2
"Apus leuconyx",9
"Apus melba",107
"Aquila fasciata",116
"Aquila heliaca",2
"Aquila nipalensis",10
"Aquila rapax",38
"Arachnothera longirostra",31
"Ardea alba",207
"Ardea cinerea",219
"Ardea intermedia",230
"Ardea purpurea",199
"Ardenna carneipes",3
"Ardenna pacifica",1
"Ardeola bacchus",1
"Ardeola grayii",252
"Arenaria interpres",20
"Argya affinis",249
"Argya caudata",47
"Argya malcolmi",154
"Argya striata",85
"Argya subrufa",34
"Artamus fuscus",217
"Arundinax aedon",49
"Asio flammeus",13
"Athene brama",230
"Aviceda jerdoni",6
"Aviceda leuphotes",15
"Aythya ferina",27
"Aythya fuligula",12
"Aythya nyroca",1
"Batrachostomus moniliger",11
"Brachypodius priocephalus",27
"Bubo bengalensis",1
"Bubo nipalensis",19
"Bubulcus ibis",248
"Buceros bicornis",1
"Burhinus indicus",109
"Butastur teesa",162
"Buteo buteo",44
"Buteo rufinus",3
"Butorides striata",125
"Cacomantis passerinus",159
"Cacomantis sonneratii",46
"Calandrella dukhunensis",38
"Calidris alba",18
"Calidris alpina",15
"Calidris canutus",2
"Calidris falcinellus",9
"Calidris ferruginea",30
"Calidris melanotos",1
"Calidris minuta",108
"Calidris pugnax",46
"Calidris ruficollis",1
"Calidris subminuta",10
"Calidris temminckii",66
"Calidris tenuirostris",6
"Calliope calliope",1
"Calonectris leucomelas",1
"Caprimulgus affinis",10
"Caprimulgus asiaticus",147
"Caprimulgus atripennis",68
"Caprimulgus indicus",36
"Carpodacus erythrinus",51
"Cecropis daurica",226
"Centropus bengalensis",6
"Centropus sinensis",250
"Ceryle rudis",208
"Ceyx erithaca",7
"Chalcophaps indica",51
"Charadrius alexandrinus",80
"Charadrius asiaticus",3
"Charadrius dubius",173
"Charadrius hiaticula",4
"Charadrius leschenaultii",21
"Charadrius mongolus",51
"Chlidonias hybrida",155
"Chlidonias leucopterus",24
"Chloropsis aurifrons",88
"Chloropsis jerdoni",109
"Chroicocephalus brunnicephalus",57
"Chroicocephalus genei",17
"Chroicocephalus ridibundus",40
"Chrysocolaptes festivus",43
"Chrysocolaptes guttacristatus",50
"Chrysomma sinense",100
"Ciconia ciconia",27
"Ciconia episcopus",113
"Ciconia nigra",20
"Cinnyris asiaticus",250
"Cinnyris lotenius",200
"Circaetus gallicus",160
"Circus aeruginosus",114
"Circus macrourus",81
"Circus melanoleucos",19
"Circus pygargus",75
"Circus spilonotus",3
"Cisticola juncidis",192
"Clamator coromandus",52
"Clamator jacobinus",233
"Clanga clanga",75
"Clanga hastata",98
"Columba elphinstonii",36
"Columba livia",247
"Copsychus fulicatus",247
"Copsychus malabaricus",66
"Copsychus saularis",237
"Coracias benghalensis",251
"Coracias garrulus",11
"Coracina macei",74
"Corvus macrorhynchos",252
"Corvus splendens",251
"Coturnix coromandelica",48
"Coturnix coturnix",1
"Cuculus canorus",55
"Cuculus micropterus",34
"Cuculus poliocephalus",10
"Culicicapa ceylonensis",31
"Curruca crassirostris",15
"Curruca curruca",103
"Cursorius coromandelicus",33
"Cyanoptila cyanomelana",1
"Cyornis pallidipes",29
"Cyornis rubeculoides",90
"Cyornis tickelliae",89
"Cypsiurus balasiensis",251
"Delichon urbicum",19
"Dendrocitta leucogastra",30
"Dendrocitta vagabunda",249
"Dendrocygna bicolor",46
"Dendrocygna javanica",152
"Dendronanthus indicus",94
"Dicaeum agile",88
"Dicaeum concolor",50
"Dicaeum erythrorhynchos",215
"Dicrurus aeneus",59
"Dicrurus caerulescens",57
"Dicrurus hottentottus",27
"Dicrurus leucophaeus",168
"Dicrurus macrocercus",252
"Dicrurus paradiseus",75
"Dinopium benghalense",237
"Dinopium javanense",18
"Dromas ardeola",4
"Dryocopus javensis",13
"Ducula aenea",23
"Ducula badia",32
"Dumetia atriceps",29
"Dumetia hyperythra",118
"Egretta garzetta",242
"Egretta gularis",66
"Elanus caeruleus",233
"Emberiza bruniceps",10
"Emberiza buchanani",17
"Emberiza melanocephala",6
"Eremopterix griseus",199
"Esacus recurvirostris",25
"Eudynamys scolopaceus",249
"Eumyias albicaudatus",29
"Eumyias thalassinus",57
"Euodice malabarica",210
"Eurystomus orientalis",9
"Falco amurensis",21
"Falco chicquera",106
"Falco jugger",6
"Falco naumanni",13
"Falco peregrinus",103
"Falco subbuteo",9
"Falco tinnunculus",194
"Ficedula albicilla",16
"Ficedula nigrorufa",24
"Ficedula parva",16
"Ficedula ruficauda",34
"Ficedula subrubra",5
"Ficedula superciliaris",2
"Ficedula zanthopygia",1
"Fregata andrewsi",2
"Fregata ariel",2
"Fregata minor",1
"Fulica atra",208
"Galerida deva",6
"Galerida malabarica",7
"Gallicrex cinerea",84
"Gallinago gallinago",90
"Gallinago media",2
"Gallinago megala",1
"Gallinago stenura",48
"Gallinula chloropus",199
"Galloperdix lunulata",57
"Galloperdix spadicea",68
"Gallus gallus",2
"Gallus sonneratii",109
"Gelochelidon nilotica",75
"Geokichla citrina",94
"Geokichla wardii",12
"Glareola lactea",52
"Glareola maldivarum",34
"Glaucidium radiatum",75
"Gorsachius melanolophus",10
"Gracula indica",41
"Gracupica contra",19
"Gymnoris xanthocollis",142
"Gyps bengalensis",16
"Gyps himalayensis",1
"Gyps indicus",7
"Haematopus ostralegus",7
"Halcyon pileata",17
"Halcyon smyrnensis",254
"Haliaeetus humilis",15
"Haliaeetus leucogaster",29
"Haliastur indus",217
"Harpactes fasciatus",32
"Helopsaltes certhiola",3
"Hemicircus canente",32
"Hemiprocne coronata",70
"Hemipus picatus",59
"Hieraaetus pennatus",198
"Hierococcyx sparverioides",11
"Hierococcyx varius",224
"Himantopus himantopus",200
"Hirundapus giganteus",22
"Hirundo domicola",33
"Hirundo rustica",247
"Hirundo smithii",84
"Hydrobates monorhis",1
"Hydrophasianus chirurgus",145
"Hydroprogne caspia",59
"Hypothymis azurea",88
"Hypsipetes ganeesa",38
"Ichthyaetus hemprichii",1
"Ichthyaetus ichthyaetus",26
"Ictinaetus malaiensis",105
"Iduna caligata",176
"Iduna rama",91
"Iole indica",50
"Irena puella",50
"Ixobrychus cinnamomeus",84
"Ixobrychus flavicollis",100
"Ixobrychus sinensis",106
"Jynx torquilla",20
"Ketupa zeylonensis",63
"Lalage melanoptera",165
"Lalage melaschistos",2
"Lanius cristatus",229
"Lanius excubitor",23
"Lanius isabellinus",3
"Lanius schach",156
"Lanius vittatus",188
"Larus fuscus",29
"Larvivora brunnea",54
"Leiopicus mahrattensis",59
"Leptocoma minima",39
"Leptocoma zeylonica",249
"Leptoptilos javanicus",3
"Lewinia striata",33
"Limnodromus semipalmatus",1
"Limosa lapponica",14
"Limosa limosa",68
"Locustella naevia",5
"Lonchura kelaarti",35
"Lonchura malacca",189
"Lonchura punctulata",228
"Lonchura striata",175
"Lophotriorchis kienerii",33
"Loriculus vernalis",47
"Luscinia svecica",13
"Lymnocryptes minimus",2
"Lyncornis macrotis",7
"Machlolophus aplonotus",33
"Machlolophus nuchalis",7
"Mareca falcata",1
"Mareca penelope",56
"Mareca strepera",5
"Merops apiaster",18
"Merops leschenaulti",82
"Merops orientalis",245
"Merops persicus",2
"Merops philippinus",227
"Metopidius indicus",82
"Microcarbo niger",244
"Micropternus brachyurus",53
"Milvus migrans",236
"Mirafra affinis",229
"Mirafra cantillans",8
"Mirafra erythroptera",3
"Mixornis gularis",1
"Montecincla cachinnans",6
"Montecincla fairbanki",14
"Montecincla meridionalis",5
"Monticola cinclorhyncha",41
"Monticola solitarius",72
"Motacilla alba",75
"Motacilla cinerea",156
"Motacilla citreola",43
"Motacilla flava",185
"Motacilla maderaspatensis",245
"Motacilla tschutschensis",6
"Muscicapa dauurica",153
"Muscicapa muttui",90
"Muscicapa sibirica",5
"Muscicapa striata",1
"Mycteria leucocephala",185
"Myophonus horsfieldii",43
"Neophron percnopterus",30
"Netta rufina",3
"Nettapus coromandelianus",89
"Ninox scutulata",29
"Nisaetus cirrhatus",76
"Nisaetus kelaarti",22
"Numenius arquata",40
"Numenius phaeopus",40
"Nycticorax nycticorax",191
"Nyctyornis athertoni",75
"Oceanites oceanicus",2
"Ocyceros birostris",58
"Ocyceros griseus",35
"Oenanthe deserti",1
"Oenanthe isabellina",12
"Onychoprion anaethetus",6
"Onychoprion fuscatus",3
"Oriolus chinensis",79
"Oriolus kundoo",225
"Oriolus xanthornus",85
"Orthotomus sutorius",253
"Ortygornis pondicerianus",238
"Otus bakkamoena",118
"Otus brucei",1
"Otus sunia",27
"Pandion haliaetus",74
"Parus cinereus",69
"Passer domesticus",244
"Pastor roseus",196
"Pavo cristatus",236
"Pelargopsis capensis",58
"Pelecanus onocrotalus",2
"Pelecanus philippensis",138
"Pellorneum ruficeps",89
"Perdicula argoondah",5
"Perdicula asiatica",114
"Perdicula erythrorhyncha",18
"Pericrocotus cantonensis",1
"Pericrocotus cinnamomeus",156
"Pericrocotus divaricatus",4
"Pericrocotus erythropygius",6
"Pericrocotus flammeus",77
"Pernis apivorus",3
"Pernis ptilorhynchus",219
"Petrochelidon fluvicola",40
"Phaenicophaeus viridirostris",223
"Phaethon lepturus",1
"Phalacrocorax carbo",149
"Phalacrocorax fuscicollis",199
"Phalaropus lobatus",6
"Phodilus assimilis",3
"Phoeniconaias minor",7
"Phoenicopterus roseus",59
"Phoenicurus ochruros",8
"Phylloscopus affinis",31
"Phylloscopus collybita",1
"Phylloscopus fuscatus",1
"Phylloscopus griseolus",1
"Phylloscopus humei",1
"Phylloscopus inornatus",3
"Phylloscopus magnirostris",56
"Phylloscopus nitidus",100
"Phylloscopus occipitalis",38
"Phylloscopus trochiloides",147
"Phylloscopus tytleri",11
"Picumnus innominatus",22
"Picus chlorolophus",38
"Picus xanthopygaeus",49
"Pitta brachyura",129
"Platalea leucorodia",114
"Plegadis falcinellus",197
"Ploceus benghalensis",10
"Ploceus manyar",70
"Ploceus philippinus",215
"Pluvialis fulva",58
"Pluvialis squatarola",28
"Podiceps cristatus",1
"Pomatorhinus horsfieldii",65
"Porphyrio poliocephalus",162
"Porzana porzana",1
"Prinia hodgsonii",110
"Prinia inornata",237
"Prinia socialis",240
"Prinia sylvatica",178
"Pseudibis papillosa",111
"Psilopogon haemacephalus",233
"Psilopogon malabaricus",35
"Psilopogon viridis",108
"Psilopogon zeylanicus",85
"Psittacula columboides",53
"Psittacula cyanocephala",103
"Psittacula eupatria",2
