"scientific_name","n_grids"
"Abroscopus schisticeps",90
"Abroscopus superciliaris",114
"Accipiter badius",3167
"Accipiter butleri",3
"Accipiter nisus",1000
"Accipiter trivirgatus",386
"Accipiter virgatus",329
"Aceros nipalensis",36
"Acridotheres fuscus",1357
"Acridotheres ginginianus",1386
"Acridotheres grandis",150
"Acridotheres tristis",3947
"Acrocephalus agricola",777
"Acrocephalus dumetorum",1954
"Acrocephalus stentoreus",1400
"Actinodura cyanouroptera",150
"Actinodura egertoni",90
"Actinodura nipalensis",24
"Actinodura strigula",139
"Actinodura waldeni",29
"Actitis hypoleucos",2725
"Aegithalos concinnus",228
"Aegithalos niveogularis",48
"Aegithina nigrolutea",168
"Aegithina tiphia",2277
"Aegypius monachus",210
"Aerodramus brevirostris",247
"Aerodramus unicolor",190
"Aethopyga gouldiae",130
"Aethopyga ignicauda",103
"Aethopyga nipalensis",144
"Aethopyga saturata",179
"Aethopyga siparaja",386
"Aethopyga vigorsii",121
"Alauda gulgula",1149
"Alaudala raytal",303
"Alcedo atthis",2787
"Alcedo meninting",169
"Alcippe nipalensis",158
"Alcippe poioicephala",408
"Alectoris chukar",186
"Alophoixus flaveolus",182
"Amandava amandava",1269
"Amaurornis phoenicurus",2813
"Ammomanes phoenicura",1414
"Anas acuta",1640
"Anas albogularis",18
"Anas crecca",1402
"Anas platyrhynchos",488
"Anas poecilorhyncha",2184
"Anastomus oscitans",2480
"Anhinga melanogaster",1564
"Anorrhinus austeni",17
"Anser anser",581
"Anser indicus",1052
"Anthracoceros albirostris",197
"Anthracoceros coronatus",246
"Anthus campestris",945
"Anthus godlewskii",500
"Anthus hodgsoni",962
"Anthus nilghiriensis",14
"Anthus richardi",357
"Anthus roseatus",432
"Anthus rufulus",2528
"Anthus similis",492
"Anthus sylvanus",87
"Anthus trivialis",1371
"Antigone antigone",538
"Apus acuticauda",31
"Apus affinis",2410
"Aquila chrysaetos",191
"Aquila fasciata",1037
"Aquila heliaca",218
"Aquila nipalensis",722
"Aquila rapax",445
"Arachnothera longirostra",344
"Arachnothera magna",193
"Arborophila atrogularis",42
"Arborophila mandellii",17
"Arborophila rufogularis",77
"Arborophila torqueola",147
"Ardea alba",2608
"Ardea cinerea",2554
"Ardea insignis",10
"Ardea intermedia",2768
"Ardea purpurea",2096
"Ardeola grayii",3588
"Arenaria interpres",169
"Argya affinis",812
"Argya caudata",1513
"Argya earlei",273
"Argya longirostris",17
"Argya malcolmi",1919
"Argya striata",2746
"Argya subrufa",179
"Artamus fuscus",1034
"Arundinax aedon",333
"Asarcornis scutulata",17
"Asio flammeus",284
"Athene blewitti",28
"Aviceda jerdoni",137
"Aviceda leuphotes",172
"Aythya baeri",15
"Aythya ferina",1184
"Aythya fuligula",794
"Aythya nyroca",622
"Blythipicus pyrrhotis",111
"Brachypodius fuscoflavescens",23
"Brachypodius priocephalus",154
"Brachypteryx hyperythra",21
"Brachypteryx leucophris",104
"Bubo coromandus",60
"Bubulcus ibis",3735
"Buceros bicornis",113
"Burhinus indicus",1115
"Butastur teesa",1599
"Buteo buteo",428
"Buteo hemilasius",68
"Buteo rufinus",616
"Butorides striata",1114
"Cacomantis merulinus",278
"Cacomantis passerinus",1189
"Cacomantis sonneratii",449
"Calandrella brachydactyla",363
"Calidris alba",141
"Calidris alpina",295
"Calidris falcinellus",91
"Calidris ferruginea",327
"Calidris minuta",1261
"Calidris pugnax",854
