"scientific_name","n","prop_grids_cut"
"Psilopogon viridis",91,0.989130434782609
"Centropus sinensis",90,0.967741935483871
"Halcyon smyrnensis",89,0.967391304347826
"Corvus macrorhynchos",88,0.967032967032967
"Copsychus saularis",88,0.956521739130435
"Dinopium benghalense",85,0.955056179775281
"Orthotomus sutorius",84,0.933333333333333
"Corvus splendens",86,0.914893617021277
"Leptocoma zeylonica",84,0.903225806451613
"Pycnonotus jocosus",84,0.903225806451613
"Ardeola grayii",83,0.902173913043478
"Dendrocitta vagabunda",81,0.89010989010989
"Dicrurus paradiseus",79,0.877777777777778
"Acridotheres tristis",82,0.863157894736842
"Acrocephalus dumetorum",76,0.844444444444444
"Oriolus kundoo",76,0.844444444444444
"Bubulcus ibis",75,0.842696629213483
"Columba livia",76,0.835164835164835
"Pycnonotus cafer",76,0.835164835164835
"Microcarbo niger",69,0.802325581395349
"Argya striata",73,0.802197802197802
"Dicrurus macrocercus",73,0.802197802197802
"Cinnyris lotenius",68,0.772727272727273
"Streptopelia chinensis",66,0.741573033707865
"Eudynamys scolopaceus",64,0.719101123595506
"Cinnyris asiaticus",64,0.711111111111111
"Dicaeum erythrorhynchos",64,0.711111111111111
"Oriolus xanthornus",64,0.711111111111111
"Iole indica",53,0.67948717948718
"Haliastur indus",61,0.66304347826087
"Loriculus vernalis",59,0.662921348314607
"Dicrurus aeneus",57,0.662790697674419
"Gracula indica",43,0.661538461538462
"Psittacula krameri",57,0.647727272727273
"Dicaeum concolor",47,0.626666666666667
"Merops orientalis",55,0.625
"Spilornis cheela",53,0.623529411764706
"Aegithina tiphia",55,0.617977528089888
"Hierococcyx varius",52,0.604651162790698
"Gallus sonneratii",44,0.602739726027397
"Psittacula columboides",39,0.6
"Vanellus indicus",51,0.6
"Egretta garzetta",53,0.595505617977528
"Pericrocotus flammeus",47,0.5875
"Leptocoma minima",41,0.561643835616438
"Accipiter badius",51,0.56043956043956
"Amaurornis phoenicurus",46,0.541176470588235
"Glaucidium radiatum",47,0.540229885057471
"Ardea intermedia",45,0.529411764705882
"Ocyceros griseus",38,0.527777777777778
"Terpsiphone paradisi",46,0.522727272727273
"Argya affinis",44,0.517647058823529
"Chloropsis aurifrons",41,0.5125
"Psittacula cyanocephala",44,0.511627906976744
"Merops philippinus",42,0.494117647058824
"Myophonus horsfieldii",35,0.492957746478873
"Dicrurus leucophaeus",42,0.488372093023256
"Artamus fuscus",41,0.482352941176471
"Threskiornis melanocephalus",36,0.48
"Milvus migrans",40,0.476190476190476
"Ardea purpurea",37,0.474358974358974
"Pomatorhinus horsfieldii",27,0.473684210526316
"Dendrocygna javanica",34,0.459459459459459
"Alcedo atthis",40,0.454545454545455
"Cypsiurus balasiensis",40,0.454545454545455
"Phylloscopus trochiloides",40,0.449438202247191
"Irena puella",29,0.446153846153846
"Psilopogon malabaricus",29,0.446153846153846
"Zosterops palpebrosus",23,0.442307692307692
"Chrysocolaptes guttacristatus",36,0.418604651162791
"Sitta frontalis",24,0.413793103448276
"Alcippe poioicephala",21,0.403846153846154
"Dendrocitta leucogastra",23,0.403508771929825
"Acridotheres fuscus",35,0.402298850574713
"Pellorneum ruficeps",28,0.4
"Motacilla cinerea",35,0.397727272727273
"Merops leschenaulti",34,0.395348837209302
"Rubigula gularis",24,0.387096774193548
"Ardea alba",30,0.37037037037037
"Hypothymis azurea",27,0.36
"Hypsipetes ganeesa",18,0.36
"Montecincla fairbanki",5,0.357142857142857
"Pavo cristatus",31,0.35632183908046
"Phylloscopus nitidus",30,0.352941176470588
"Prinia hodgsonii",30,0.352941176470588
"Arachnothera longirostra",24,0.347826086956522
"Lonchura striata",29,0.345238095238095
"Geokichla citrina",29,0.341176470588235
"Motacilla maderaspatensis",29,0.341176470588235
"Anhinga melanogaster",27,0.333333333333333
"Hirundo rustica",30,0.333333333333333
"Montecincla meridionalis",1,0.333333333333333
"Porphyrio poliocephalus",19,0.327586206896552
"Parus cinereus",21,0.323076923076923
"Pelargopsis capensis",27,0.317647058823529
"Lanius cristatus",28,0.314606741573034
"Aerodramus unicolor",27,0.310344827586207
"Pernis ptilorhynchus",27,0.310344827586207
"Chlidonias hybrida",20,0.307692307692308
"Anastomus oscitans",24,0.30379746835443
"Ducula badia",18,0.3
"Tephrodornis sylvicola",19,0.296875
"Chalcophaps indica",24,0.285714285714286
"Phylloscopus magnirostris",18,0.285714285714286
"Sarcogyps calvus",2,0.285714285714286
"Actitis hypoleucos",23,0.280487804878049
"Argya subrufa",20,0.277777777777778
"Metopidius indicus",17,0.274193548387097
"Prinia socialis",23,0.273809523809524
"Tringa glareola",18,0.26865671641791
"Ictinaetus malaiensis",18,0.257142857142857
"Prinia inornata",21,0.253012048192771
"Sturnia blythii",21,0.253012048192771
"Dumetia atriceps",15,0.25
"Gyps bengalensis",2,0.25
"Prinia sylvatica",3,0.25
"Cyornis tickelliae",18,0.246575342465753
"Saxicola caprata",16,0.231884057971014
"Muscicapa dauurica",20,0.229885057471264
"Psilopogon haemacephalus",20,0.227272727272727
"Harpactes fasciatus",14,0.225806451612903
"Chrysomma sinense",2,0.222222222222222
"Machlolophus aplonotus",10,0.217391304347826
"Ardea cinerea",16,0.216216216216216
"Cecropis daurica",19,0.215909090909091
"Streptopelia senegalensis",3,0.214285714285714
"Phalacrocorax fuscicollis",17,0.207317073170732
"Numenius phaeopus",6,0.206896551724138
"Sholicola albiventris",2,0.2
"Passer domesticus",17,0.197674418604651
"Pericrocotus cinnamomeus",15,0.197368421052632
"Ficedula nigrorufa",4,0.19047619047619
"Ortygornis pondicerianus",4,0.19047619047619
