"scientific_name","n","prop_grids_cut"
"Zapornia akool",1,1
"Corvus splendens",249,0.99203187250996
"Halcyon smyrnensis",250,0.984251968503937
"Acridotheres tristis",249,0.984189723320158
"Ardeola grayii",246,0.976190476190476
"Corvus macrorhynchos",246,0.976190476190476
"Pycnonotus cafer",245,0.97609561752988
"Streptopelia chinensis",244,0.972111553784861
"Cinnyris asiaticus",242,0.968
"Dicrurus macrocercus",243,0.964285714285714
"Orthotomus sutorius",243,0.960474308300395
"Psittacula krameri",239,0.959839357429719
"Centropus sinensis",239,0.956
"Argya affinis",235,0.943775100401606
"Eudynamys scolopaceus",235,0.943775100401606
"Leptocoma zeylonica",233,0.93574297188755
"Cypsiurus balasiensis",233,0.928286852589641
"Dendrocitta vagabunda",231,0.927710843373494
"Bubulcus ibis",230,0.92741935483871
"Columba livia",228,0.923076923076923
"Coracias benghalensis",228,0.908366533864542
"Vanellus indicus",220,0.901639344262295
"Ortygornis pondicerianus",213,0.894957983193277
"Accipiter badius",212,0.868852459016393
"Motacilla maderaspatensis",212,0.86530612244898
"Merops orientalis",210,0.857142857142857
"Egretta garzetta",207,0.855371900826446
"Hirundo rustica",209,0.846153846153846
"Microcarbo niger",203,0.831967213114754
"Pavo cristatus",196,0.830508474576271
"Copsychus fulicatus",197,0.797570850202429
"Passer domesticus",190,0.778688524590164
"Prinia socialis",183,0.7625
"Acrocephalus dumetorum",178,0.754237288135593
"Psilopogon haemacephalus",169,0.725321888412017
"Saxicola caprata",159,0.709821428571429
"Merops philippinus",161,0.709251101321586
"Dinopium benghalense",167,0.704641350210971
"Copsychus saularis",165,0.69620253164557
"Pycnonotus luteolus",147,0.693396226415094
"Amaurornis phoenicurus",156,0.669527896995708
"Montecincla cachinnans",4,0.666666666666667
"Prinia inornata",157,0.662447257383966
"Hierococcyx varius",146,0.651785714285714
"Sturnia pagodarum",149,0.647826086956522
"Loriculus vernalis",30,0.638297872340426
"Athene brama",146,0.634782608695652
"Mirafra affinis",142,0.620087336244541
"Psilopogon viridis",66,0.611111111111111
"Haliastur indus",130,0.599078341013825
"Milvus migrans",140,0.593220338983051
"Gracula indica",24,0.585365853658537
"Streptopelia senegalensis",134,0.582608695652174
"Anastomus oscitans",123,0.574766355140187
"Dicaeum erythrorhynchos",123,0.572093023255814
"Streptopelia decaocto",125,0.570776255707763
"Aegithina tiphia",117,0.570731707317073
"Elanus caeruleus",132,0.566523605150215
"Leptocoma minima",22,0.564102564102564
"Ardea cinerea",123,0.561643835616438
"Ardea intermedia",129,0.560869565217391
"Oriolus kundoo",126,0.56
"Gallus sonneratii",60,0.55045871559633
"Psittacula columboides",29,0.547169811320755
"Anas poecilorhyncha",111,0.541463414634146
"Dicaeum concolor",27,0.54
"Iole indica",27,0.54
"Tachybaptus ruficollis",118,0.531531531531532
