"scientific_name","n","prop_grids_cut"
"Centropus andamanensis",24,1
"Dicrurus andamanensis",24,1
"Ducula nicobarica",11,1
"Perdicula manipurensis",1,1
"Rhyticeros narcondami",1,1
"Pycnonotus cafer",3816,0.979717586649551
"Psittacula longicauda",34,0.971428571428571
"Treron chloropterus",34,0.971428571428571
"Acridotheres tristis",3821,0.968077020521915
"Sturnia erythropygia",28,0.96551724137931
"Dicrurus macrocercus",3753,0.960583567954953
"Brachypodius fuscoflavescens",22,0.956521739130435
"Halcyon smyrnensis",3594,0.955342902711324
"Dicaeum virescens",21,0.954545454545455
"Bubulcus ibis",3535,0.946452476572959
"Columba livia",3572,0.934100418410042
"Ardeola grayii",3351,0.933946488294314
"Merops orientalis",3283,0.933466022177993
"Vanellus indicus",3327,0.92907009215303
"Corvus splendens",3576,0.928348909657321
"Centropus sinensis",3066,0.92600422832981
"Psittacula krameri",3265,0.923098671190274
"Dryocopus hodgei",22,0.916666666666667
"Cinnyris asiaticus",3058,0.912019087384432
"Orthotomus sutorius",2862,0.904551201011378
"Microcarbo niger",2972,0.896801448400724
"Passer domesticus",3349,0.894259012016021
"Streptopelia chinensis",2905,0.889739663093415
"Copsychus fulicatus",2678,0.886461436610394
"Streptopelia senegalensis",2741,0.88305412371134
"Eudynamys scolopaceus",2851,0.879395434916718
"Corvus macrorhynchos",2955,0.877896613190731
"Egretta garzetta",2901,0.876699909338169
"Spilornis elgini",21,0.875
"Copsychus saularis",2781,0.869606003752345
"Copsychus albiventris",20,0.869565217391304
"Leptocoma zeylonica",1667,0.857951621204323
"Argya striata",2354,0.857246904588492
"Gracupica contra",1867,0.852900867976245
"Dendrocitta vagabunda",2397,0.845204513399154
"Prinia socialis",2307,0.837994914638576
"Accipiter badius",2638,0.832964951057783
"Coracias benghalensis",2552,0.821371097521725
"Streptopelia decaocto",2587,0.820488423723438
"Pavo cristatus",2069,0.816818002368733
"Todiramphus chloris",55,0.808823529411765
"Psittacula caniceps",4,0.8
"Psilopogon asiaticus",467,0.791525423728814
"Heterophasia gracilis",45,0.789473684210526
"Argya affinis",641,0.789408866995074
"Trochalopteron lineatum",167,0.784037558685446
"Psilopogon haemacephalus",2112,0.781065088757396
"Amaurornis phoenicurus",2186,0.777106292214717
"Sturnia pagodarum",2126,0.766402307137707
"Psilopogon viridis",335,0.764840182648402
"Milvus migrans",2307,0.75664152181043
"Prinia inornata",2115,0.756167322130854
"Aegithina tiphia",1717,0.754062362758015
"Elanus caeruleus",2292,0.75049115913556
"Myophonus caeruleus",400,0.749063670411985
"Ardea intermedia",2073,0.748916184971098
"Euodice malabarica",1780,0.739509763190694
"Hirundo rustica",2159,0.738877481177276
"Parus monticolus",198,0.738805970149254
"Lanius schach",2199,0.738415043653459
"Pyrrhocorax pyrrhocorax",166,0.734513274336283
"Himantopus himantopus",1839,0.732085987261146
"Oriolus xanthornus",1135,0.729903536977492
"Argya malcolmi",1393,0.725898905680042
"Ocyceros birostris",1438,0.724068479355488
"Pycnonotus jocosus",1269,0.723901882487165
"Leucosticte brandti",67,0.720430107526882
"Phoenicurus erythrogastrus",77,0.719626168224299
"Psilopogon virens",278,0.718346253229974
"Saxicola caprata",1901,0.717900302114804
"Prunella rubeculoides",75,0.714285714285714
"Pycnonotus leucotis",394,0.713768115942029
"Pseudibis papillosa",1555,0.713630105553006
"Carpodacus rubicilla",59,0.710843373493976
"Emberiza cia",195,0.709090909090909
"Hypsipetes leucocephalus",294,0.706730769230769
"Anastomus oscitans",1750,0.705645161290323
"Ardea alba",1838,0.704754601226994
"Passer montanus",197,0.703571428571429
"Dendrocopos himalayensis",109,0.703225806451613
"Motacilla maderaspatensis",1763,0.701272871917263
"Ardea cinerea",1785,0.698903680501175
"Heterophasia pulchella",37,0.69811320754717
"Eremophila alpestris",83,0.697478991596639
"Trochalopteron variegatum",99,0.697183098591549
"Zosterops palpebrosus",1523,0.696069469835466
"Anas poecilorhyncha",1511,0.691849816849817
"Upupa epops",2075,0.691436187937354
"Dinopium benghalense",1436,0.689721421709894
"Tachybaptus ruficollis",1734,0.689463220675944
"Alcedo atthis",1920,0.688912809472551
"Psilopogon zeylanicus",815,0.687763713080169
"Hirundo smithii",1489,0.683654729109275
"Dendrocitta bayleii",15,0.681818181818182
"Phylloscopus xanthoschistos",233,0.681286549707602
"Actitis hypoleucos",1853,0.68
"Psittacula himalayana",125,0.679347826086957
"Pyrrhocorax graculus",128,0.677248677248677
"Psittacula cyanocephala",1354,0.677
"Oenanthe fusca",835,0.671221864951768
"Motacilla alba",1778,0.670690305545077
"Oriolus kundoo",1564,0.670094258783205
"Accipiter butleri",2,0.666666666666667
"Megapodius nicobariensis",6,0.666666666666667
"Stachyris oglei",4,0.666666666666667
"Trochalopteron imbricatum",6,0.666666666666667
"Parus cinereus",1170,0.66628701594533
"Cypsiurus balasiensis",1250,0.665601703940362
"Acridotheres ginginianus",912,0.658008658008658
"Aegithalos concinnus",150,0.657894736842105
"Eremopterix griseus",1400,0.654511453950444
"Macropygia rufipennis",17,0.653846153846154
"Dicrurus paradiseus",551,0.65207100591716
"Phoenicurus leucocephalus",310,0.651260504201681
"Hierococcyx varius",1523,0.650854700854701
"Rubigula flaviventris",201,0.650485436893204
"Cyanoderma pyrrhops",87,0.649253731343284
"Certhia himalayana",131,0.648514851485149
"Psilopogon lineatus",225,0.646551724137931
"Cecropis daurica",1593,0.646247464503043
"Dendrocygna javanica",1492,0.644770959377701
"Apus affinis",1553,0.644398340248963
"Anthus rufulus",1626,0.643196202531646
"Treron phoenicopterus",1242,0.640536358947911
"Lonchura punctulata",1597,0.638544582167133
"Threskiornis melanocephalus",1406,0.638220608261462
"Ploceus philippinus",1489,0.637687366167024
"Glaucidium cuculoides",239,0.637333333333333
"Ceryle rudis",1578,0.635265700483092
"Heterophasia capistrata",102,0.633540372670807
"Fulica atra",1409,0.629298794104511
"Periparus ater",115,0.628415300546448
"Saxicola ferreus",289,0.626898047722343
"Urocissa flavirostris",133,0.621495327102804
"Garrulus lanceolatus",82,0.621212121212121
"Phoenicurus fuliginosus",246,0.619647355163728
"Mycteria leucocephala",1181,0.618001046572475
"Dendrocoptes auriceps",95,0.616883116883117
"Acridotheres fuscus",837,0.616801768607222
"Ardea purpurea",1289,0.614980916030534
"Passer cinnamomeus",183,0.614093959731544
"Alcippe nipalensis",97,0.613924050632911
"Urocissa erythroryncha",97,0.613924050632911
"Lanius tephronotus",225,0.611413043478261
"Dendrocitta formosae",220,0.611111111111111
"Pericrocotus speciosus",325,0.610902255639098
"Sterna aurantia",1119,0.608152173913043
"Acrocephalus dumetorum",1184,0.605936540429887
"Pycnonotus luteolus",678,0.605898123324397
"Gypaetus barbatus",136,0.604444444444444
"Prunella fulvescens",47,0.602564102564103
"Antigone antigone",324,0.602230483271376
"Haliastur indus",713,0.60168776371308
"Gracula religiosa",166,0.601449275362319
"Spilornis klossi",3,0.6
"Alophoixus flaveolus",109,0.598901098901099
"Saxicola maurus",1308,0.5950864422202
"Ammomanes phoenicura",839,0.593352192362093
"Rhipidura albicollis",305,0.59108527131783
"Argya caudata",890,0.588235294117647
"Alectoris chukar",108,0.580645161290323
"Arachnothera magna",112,0.580310880829015
"Phoenicurus ochruros",1146,0.578787878787879
"Pericrocotus cinnamomeus",1128,0.576687116564417
"Phalacrocorax fuscicollis",1183,0.574271844660194
"Psittacula eupatria",880,0.573663624511082
"Metopidius indicus",873,0.573587385019711
"Leiothrix argentauris",82,0.573426573426573
"Galerida cristata",312,0.572477064220184
"Gymnoris xanthocollis",997,0.5687393040502
"Dicaeum cruentatum",109,0.567708333333333
"Lanius vittatus",1051,0.567188343227199
"Porphyrio poliocephalus",1002,0.564507042253521
"Rhipidura aureola",595,0.563981042654028
"Cyornis tickelliae",686,0.561834561834562
"Cyanoderma chrysaeum",55,0.561224489795918
"Dicaeum erythrorhynchos",777,0.56101083032491
"Columba rupestris",105,0.558510638297872
"Yuhina flavicollis",129,0.558441558441558
"Motacilla cinerea",1325,0.55672268907563
"Anas albogularis",10,0.555555555555556
"Mixornis gularis",130,0.555555555555556
"Dicrurus aeneus",393,0.555084745762712
"Dicaeum concolor",137,0.554655870445344
"Coracias affinis",138,0.55421686746988
"Dicrurus caerulescens",641,0.552586206896552
"Tringa glareola",1152,0.551988500239578
"Charadrius dubius",1122,0.551622418879056
"Loriculus vernalis",223,0.550617283950617
"Serinus pusillus",99,0.546961325966851
"Pericrocotus flammeus",175,0.546875
"Aethopyga vigorsii",66,0.545454545454545
"Gallinula chloropus",1125,0.544794188861985
"Glaucidium radiatum",500,0.544069640914037
"Tadorna ferruginea",842,0.541479099678457
"Picus squamatus",94,0.540229885057471
"Lanius cristatus",971,0.539744302390217
"Trochalopteron erythrocephalum",76,0.539007092198582
"Gracula indica",90,0.538922155688623
"Ciconia episcopus",946,0.535370684776457
"Acridotheres grandis",80,0.533333333333333
"Fulvetta ludlowi",8,0.533333333333333
"Pastor roseus",999,0.532515991471215
"Mirafra affinis",313,0.531409168081494
"Dicrurus leucophaeus",1014,0.531168150864327
"Picus canus",163,0.530944625407166
"Phalacrocorax carbo",1075,0.529295913343181
"Aethopyga nipalensis",76,0.527777777777778
"Corvus corax",106,0.527363184079602
"Terpsiphone paradisi",951,0.525995575221239
"Aethopyga siparaja",203,0.525906735751295
"Erythrogenys mcclellandi",22,0.523809523809524
"Trochalopteron virgatum",11,0.523809523809524
"Curruca curruca",841,0.523661270236613
"Gallus gallus",288,0.523636363636364
"Francolinus francolinus",256,0.523517382413088
"Gallus sonneratii",268,0.522417153996101
"Spilornis cheela",834,0.521902377972466
"Vanellus duvaucelii",311,0.520938023450586
"Erythrogenys erythrogenys",76,0.520547945205479
"Platalea leucorodia",637,0.52
"Gyps himalayensis",263,0.518737672583826
"Neophron percnopterus",568,0.518721461187215
"Columba palumboides",14,0.518518518518518
"Trochalopteron chrysopterum",14,0.518518518518518
"Irena puella",158,0.518032786885246
"Chloropsis aurifrons",410,0.517023959646911
"Minla ignotincta",37,0.513888888888889
"Ptyonoprogne concolor",776,0.512211221122112
"Phoenicurus frontalis",130,0.511811023622047
"Motacilla flava",957,0.511764705882353
"Spizixos canifrons",23,0.511111111111111
"Streptopelia tranquebarica",914,0.510899944102851
"Oenanthe picata",236,0.510822510822511
"Phaenicophaeus tristis",140,0.509090909090909
"Sitta leucopsis",33,0.507692307692308
"Leptoptilos javanicus",190,0.50531914893617
"Pernis ptilorhynchus",1142,0.505309734513274
"Mareca strepera",617,0.504497138184791
"Pelecanus onocrotalus",169,0.504477611940298
"Spatula clypeata",759,0.50398406374502
"Rhipidura albogularis",384,0.503276539973788
"Actinodura egertoni",45,0.5
"Athene blewitti",14,0.5
"Grammatoptila striata",78,0.5
"Iole cacharensis",10,0.5
"Spelaeornis chocolatinus",3,0.5
"Spelaeornis longicaudatus",3,0.5
"Tringa ochropus",1091,0.5
"Sarkidiornis melanotos",597,0.499581589958159
"Pelecanus crispus",111,0.497757847533632
"Psittacula columboides",103,0.497584541062802
"Passer pyrrhonotus",51,0.495145631067961
"Leptocoma minima",125,0.494071146245059
"Leucosticte nemoricola",114,0.493506493506494
"Anas acuta",809,0.493292682926829
"Phylloscopus chloronotus",146,0.493243243243243
"Schoeniparus castaneceps",33,0.492537313432836
"Machlolophus xanthogenys",63,0.4921875
"Pterorhinus albogularis",60,0.491803278688525
"Copsychus malabaricus",358,0.489740082079343
"Culicicapa ceylonensis",536,0.489497716894977
"Dinopium shorii",22,0.488888888888889
"Plegadis falcinellus",735,0.485789821546596
"Prinia hodgsonii",838,0.485515643105446
"Merops philippinus",797,0.485088253195374
"Mirafra erythroptera",515,0.483568075117371
"Troglodytes troglodytes",86,0.48314606741573
"Chloropsis hardwickii",98,0.482758620689655
"Garrulax leucolophus",90,0.481283422459893
"Carpodacus rodochroa",77,0.48125
"Phoenicopterus roseus",295,0.481239804241436
"Cinclus pallasii",140,0.481099656357388
"Psilopogon malabaricus",76,0.481012658227848
"Psilopogon franklinii",50,0.480769230769231
"Columba leuconota",87,0.480662983425414
"Myophonus horsfieldii",145,0.480132450331126
"Sitta cashmirensis",12,0.48
"Phylloscopus trochiloides",950,0.479555779909137
"Nucifraga caryocatactes",44,0.478260869565217
"Staphida castaniceps",41,0.476744186046512
"Chrysomma sinense",773,0.476572133168927
"Grus grus",184,0.474226804123711
"Ocyceros griseus",101,0.474178403755869
"Cyanoderma ruficeps",55,0.474137931034483
"Grus nigricollis",18,0.473684210526316
"Pterorhinus galbanus",9,0.473684210526316
"Actinodura cyanouroptera",71,0.473333333333333
"Hypothymis azurea",546,0.47313691507799
"Alcippe poioicephala",193,0.473039215686274
"Tephrodornis pondicerianus",857,0.472176308539945
"Anthracoceros albirostris",93,0.472081218274112
"Lophura leucomelanos",131,0.471223021582734
"Anhinga melanogaster",736,0.470588235294118
"Sitta castanea",141,0.47
"Laticilla burnesii",7,0.466666666666667
"Pellorneum ruficeps",375,0.466417910447761
"Chloris spinoides",111,0.466386554621849
"Falco tinnunculus",1076,0.463993100474342
"Tringa totanus",561,0.462871287128713
"Psittacula alexandri",110,0.46218487394958
"Oriolus traillii",115,0.461847389558233
"Anas crecca",647,0.461483594864479
"Pomatorhinus horsfieldii",181,0.460559796437659
"Carduelis carduelis",81,0.460227272727273
"Hemixos flavala",92,0.46
"Vanellus malabaricus",812,0.459535936615733
"Calidris pugnax",392,0.459016393442623
"Nucifraga multipunctata",16,0.457142857142857
"Artamus fuscus",471,0.455512572533849
"Aquila chrysaetos",87,0.455497382198953
"Columba eversmanni",10,0.454545454545455
"Cinclus cinclus",39,0.453488372093023
