"scientific_name","timePeriod","n_grids"
"Abroscopus albogularis","2000-2006",9
"Abroscopus albogularis","2007-2010",7
"Abroscopus albogularis","2011-2012",7
"Abroscopus albogularis","2013",5
"Abroscopus albogularis","2014",4
"Abroscopus albogularis","2015",15
"Abroscopus albogularis","2016",8
"Abroscopus albogularis","2017",11
"Abroscopus albogularis","2018",14
"Abroscopus albogularis","2019",9
"Abroscopus albogularis","2020",13
"Abroscopus albogularis","2021",12
"Abroscopus albogularis","2022",15
"Abroscopus albogularis","pre2000",4
"Abroscopus schisticeps","2000-2006",12
"Abroscopus schisticeps","2007-2010",18
"Abroscopus schisticeps","2011-2012",16
"Abroscopus schisticeps","2013",15
"Abroscopus schisticeps","2014",18
"Abroscopus schisticeps","2015",24
"Abroscopus schisticeps","2016",22
"Abroscopus schisticeps","2017",35
"Abroscopus schisticeps","2018",38
"Abroscopus schisticeps","2019",41
"Abroscopus schisticeps","2020",29
"Abroscopus schisticeps","2021",48
"Abroscopus schisticeps","2022",43
"Abroscopus schisticeps","pre2000",10
"Abroscopus superciliaris","2000-2006",7
"Abroscopus superciliaris","2007-2010",11
"Abroscopus superciliaris","2011-2012",19
"Abroscopus superciliaris","2013",12
"Abroscopus superciliaris","2014",17
"Abroscopus superciliaris","2015",26
"Abroscopus superciliaris","2016",22
"Abroscopus superciliaris","2017",28
"Abroscopus superciliaris","2018",27
"Abroscopus superciliaris","2019",36
"Abroscopus superciliaris","2020",27
"Abroscopus superciliaris","2021",58
"Abroscopus superciliaris","2022",43
"Abroscopus superciliaris","pre2000",8
"Accipiter badius","2000-2006",320
"Accipiter badius","2007-2010",372
"Accipiter badius","2011-2012",391
"Accipiter badius","2013",358
"Accipiter badius","2014",654
"Accipiter badius","2015",856
"Accipiter badius","2016",1024
"Accipiter badius","2017",1218
"Accipiter badius","2018",1375
"Accipiter badius","2019",1536
"Accipiter badius","2020",1571
"Accipiter badius","2021",1836
"Accipiter badius","2022",1679
"Accipiter badius","pre2000",346
"Accipiter butleri","2011-2012",1
"Accipiter butleri","2016",1
"Accipiter butleri","2019",1
"Accipiter butleri","2021",2
"Accipiter butleri","2022",1
"Accipiter gentilis","2000-2006",6
"Accipiter gentilis","2007-2010",5
"Accipiter gentilis","2011-2012",2
"Accipiter gentilis","2013",3
"Accipiter gentilis","2014",2
"Accipiter gentilis","2015",9
"Accipiter gentilis","2016",5
"Accipiter gentilis","2017",6
"Accipiter gentilis","2018",11
"Accipiter gentilis","2019",12
"Accipiter gentilis","2020",7
"Accipiter gentilis","2021",12
"Accipiter gentilis","2022",7
"Accipiter gentilis","pre2000",6
"Accipiter gularis","2007-2010",1
"Accipiter gularis","2014",3
"Accipiter gularis","2016",2
"Accipiter gularis","2017",3
"Accipiter gularis","2018",1
"Accipiter gularis","2019",4
"Accipiter gularis","2020",1
"Accipiter gularis","2021",2
"Accipiter gularis","2022",1
"Accipiter nisus","2000-2006",76
"Accipiter nisus","2007-2010",90
"Accipiter nisus","2011-2012",83
"Accipiter nisus","2013",69
"Accipiter nisus","2014",95
"Accipiter nisus","2015",127
"Accipiter nisus","2016",194
"Accipiter nisus","2017",225
"Accipiter nisus","2018",266
"Accipiter nisus","2019",294
"Accipiter nisus","2020",375
"Accipiter nisus","2021",397
"Accipiter nisus","2022",272
"Accipiter nisus","pre2000",92
"Accipiter soloensis","2013",1
"Accipiter soloensis","2014",1
"Accipiter soloensis","2015",4
"Accipiter soloensis","2016",2
"Accipiter soloensis","2017",4
"Accipiter soloensis","2018",6
"Accipiter soloensis","2019",7
"Accipiter soloensis","2020",6
"Accipiter soloensis","2021",5
"Accipiter soloensis","2022",4
"Accipiter trivirgatus","2000-2006",49
"Accipiter trivirgatus","2007-2010",75
"Accipiter trivirgatus","2011-2012",56
"Accipiter trivirgatus","2013",41
"Accipiter trivirgatus","2014",70
"Accipiter trivirgatus","2015",102
"Accipiter trivirgatus","2016",122
"Accipiter trivirgatus","2017",122
"Accipiter trivirgatus","2018",143
"Accipiter trivirgatus","2019",139
"Accipiter trivirgatus","2020",154
"Accipiter trivirgatus","2021",183
"Accipiter trivirgatus","2022",165
"Accipiter trivirgatus","pre2000",42
"Accipiter virgatus","2000-2006",47
"Accipiter virgatus","2007-2010",47
"Accipiter virgatus","2011-2012",35
"Accipiter virgatus","2013",19
"Accipiter virgatus","2014",34
"Accipiter virgatus","2015",52
"Accipiter virgatus","2016",62
"Accipiter virgatus","2017",72
"Accipiter virgatus","2018",81
"Accipiter virgatus","2019",87
"Accipiter virgatus","2020",65
"Accipiter virgatus","2021",90
"Accipiter virgatus","2022",69
"Accipiter virgatus","pre2000",36
"Aceros nipalensis","2000-2006",7
"Aceros nipalensis","2007-2010",7
"Aceros nipalensis","2011-2012",9
"Aceros nipalensis","2013",6
"Aceros nipalensis","2014",6
"Aceros nipalensis","2015",9
"Aceros nipalensis","2016",13
"Aceros nipalensis","2017",13
"Aceros nipalensis","2018",15
"Aceros nipalensis","2019",17
"Aceros nipalensis","2020",14
"Aceros nipalensis","2021",17
"Aceros nipalensis","2022",17
"Aceros nipalensis","pre2000",8
"Acridotheres albocinctus","pre2000",1
"Acridotheres fuscus","2000-2006",167
"Acridotheres fuscus","2007-2010",210
"Acridotheres fuscus","2011-2012",199
"Acridotheres fuscus","2013",201
"Acridotheres fuscus","2014",343
"Acridotheres fuscus","2015",420
"Acridotheres fuscus","2016",520
"Acridotheres fuscus","2017",570
"Acridotheres fuscus","2018",628
"Acridotheres fuscus","2019",682
"Acridotheres fuscus","2020",675
"Acridotheres fuscus","2021",792
"Acridotheres fuscus","2022",764
"Acridotheres fuscus","pre2000",187
"Acridotheres ginginianus","2000-2006",119
"Acridotheres ginginianus","2007-2010",150
"Acridotheres ginginianus","2011-2012",144
"Acridotheres ginginianus","2013",123
"Acridotheres ginginianus","2014",203
"Acridotheres ginginianus","2015",267
"Acridotheres ginginianus","2016",338
"Acridotheres ginginianus","2017",448
"Acridotheres ginginianus","2018",483
"Acridotheres ginginianus","2019",576
"Acridotheres ginginianus","2020",562
"Acridotheres ginginianus","2021",611
"Acridotheres ginginianus","2022",544
"Acridotheres ginginianus","pre2000",140
"Acridotheres grandis","2000-2006",12
"Acridotheres grandis","2007-2010",18
"Acridotheres grandis","2011-2012",16
"Acridotheres grandis","2013",22
"Acridotheres grandis","2014",25
"Acridotheres grandis","2015",37
"Acridotheres grandis","2016",45
"Acridotheres grandis","2017",40
"Acridotheres grandis","2018",56
"Acridotheres grandis","2019",66
"Acridotheres grandis","2020",65
"Acridotheres grandis","2021",95
"Acridotheres grandis","2022",81
"Acridotheres grandis","pre2000",12
"Acridotheres tristis","2000-2006",455
"Acridotheres tristis","2007-2010",537
"Acridotheres tristis","2011-2012",534
"Acridotheres tristis","2013",546
"Acridotheres tristis","2014",1011
"Acridotheres tristis","2015",1293
"Acridotheres tristis","2016",1510
"Acridotheres tristis","2017",1886
"Acridotheres tristis","2018",2023
"Acridotheres tristis","2019",2305
"Acridotheres tristis","2020",2219
"Acridotheres tristis","2021",2571
"Acridotheres tristis","2022",2461
"Acridotheres tristis","pre2000",663
"Acrocephalus agricola","2000-2006",29
"Acrocephalus agricola","2007-2010",74
"Acrocephalus agricola","2011-2012",66
"Acrocephalus agricola","2013",54
"Acrocephalus agricola","2014",83
"Acrocephalus agricola","2015",112
"Acrocephalus agricola","2016",153
"Acrocephalus agricola","2017",184
"Acrocephalus agricola","2018",192
"Acrocephalus agricola","2019",220
"Acrocephalus agricola","2020",275
"Acrocephalus agricola","2021",308
"Acrocephalus agricola","2022",201
"Acrocephalus agricola","pre2000",42
"Acrocephalus arundinaceus","pre2000",2
"Acrocephalus bistrigiceps","2000-2006",1
"Acrocephalus bistrigiceps","2007-2010",2
"Acrocephalus bistrigiceps","2011-2012",2
"Acrocephalus bistrigiceps","2014",7
"Acrocephalus bistrigiceps","2015",4
"Acrocephalus bistrigiceps","2016",3
"Acrocephalus bistrigiceps","2017",2
"Acrocephalus bistrigiceps","2018",6
"Acrocephalus bistrigiceps","2019",8
"Acrocephalus bistrigiceps","2020",10
"Acrocephalus bistrigiceps","2021",10
"Acrocephalus bistrigiceps","2022",5
"Acrocephalus bistrigiceps","pre2000",1
"Acrocephalus concinens","2000-2006",2
"Acrocephalus concinens","2007-2010",3
"Acrocephalus concinens","2011-2012",3
"Acrocephalus concinens","2013",1
"Acrocephalus concinens","2014",3
"Acrocephalus concinens","2015",8
"Acrocephalus concinens","2016",2
"Acrocephalus concinens","2017",6
"Acrocephalus concinens","2018",2
"Acrocephalus concinens","2019",2
"Acrocephalus concinens","2020",2
"Acrocephalus concinens","2021",6
"Acrocephalus concinens","2022",5
"Acrocephalus concinens","pre2000",2
"Acrocephalus dumetorum","2000-2006",185
"Acrocephalus dumetorum","2007-2010",281
"Acrocephalus dumetorum","2011-2012",246
"Acrocephalus dumetorum","2013",219
"Acrocephalus dumetorum","2014",356
"Acrocephalus dumetorum","2015",458
"Acrocephalus dumetorum","2016",591
"Acrocephalus dumetorum","2017",703
"Acrocephalus dumetorum","2018",783
"Acrocephalus dumetorum","2019",880
"Acrocephalus dumetorum","2020",973
"Acrocephalus dumetorum","2021",1061
"Acrocephalus dumetorum","2022",909
"Acrocephalus dumetorum","pre2000",256
"Acrocephalus melanopogon","2000-2006",8
"Acrocephalus melanopogon","2007-2010",3
"Acrocephalus melanopogon","2011-2012",8
"Acrocephalus melanopogon","2013",7
"Acrocephalus melanopogon","2014",6
"Acrocephalus melanopogon","2015",12
"Acrocephalus melanopogon","2016",13
"Acrocephalus melanopogon","2017",10
"Acrocephalus melanopogon","2018",17
"Acrocephalus melanopogon","2019",34
"Acrocephalus melanopogon","2020",29
"Acrocephalus melanopogon","2021",20
"Acrocephalus melanopogon","2022",18
"Acrocephalus melanopogon","pre2000",4
"Acrocephalus orientalis","2000-2006",1
"Acrocephalus orientalis","2007-2010",2
"Acrocephalus orientalis","2011-2012",3
"Acrocephalus orientalis","2013",4
"Acrocephalus orientalis","2014",1
"Acrocephalus orientalis","2015",1
"Acrocephalus orientalis","2016",2
"Acrocephalus orientalis","2017",4
"Acrocephalus orientalis","2018",5
"Acrocephalus orientalis","2019",8
"Acrocephalus orientalis","2020",6
"Acrocephalus orientalis","2021",5
"Acrocephalus orientalis","2022",2
"Acrocephalus orientalis","pre2000",3
"Acrocephalus orinus","2007-2010",2
"Acrocephalus orinus","2014",1
"Acrocephalus orinus","2017",2
"Acrocephalus orinus","pre2000",4
"Acrocephalus schoenobaenus","pre2000",2
"Acrocephalus stentoreus","2000-2006",73
"Acrocephalus stentoreus","2007-2010",115
"Acrocephalus stentoreus","2011-2012",108
"Acrocephalus stentoreus","2013",114
"Acrocephalus stentoreus","2014",193
"Acrocephalus stentoreus","2015",248
"Acrocephalus stentoreus","2016",349
"Acrocephalus stentoreus","2017",423
"Acrocephalus stentoreus","2018",461
"Acrocephalus stentoreus","2019",533
"Acrocephalus stentoreus","2020",592
"Acrocephalus stentoreus","2021",636
"Acrocephalus stentoreus","2022",499
"Acrocephalus stentoreus","pre2000",105
"Actinodura cyanouroptera","2000-2006",28
"Actinodura cyanouroptera","2007-2010",36
"Actinodura cyanouroptera","2011-2012",29
"Actinodura cyanouroptera","2013",24
"Actinodura cyanouroptera","2014",29
"Actinodura cyanouroptera","2015",46
