"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2011-2012",6.49981171156552,0.00929032077419212,"two.sided","q","Holm","Games-Howell"
"2000-2006","2014",9.33400657263435,2.07052537781749e-07,"two.sided","q","Holm","Games-Howell"
"2000-2006","2015",14.6138557507153,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",18.1031939466952,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",20.9349202177506,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",23.144497321094,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",26.6829195679745,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",29.3245682714457,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",32.8514405521543,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",31.6827877866539,5.09205122511958e-10,"two.sided","q","Holm","Games-Howell"
"2007-2010","2015",8.96261269895727,9.58865783218243e-07,"two.sided","q","Holm","Games-Howell"
"2007-2010","2016",12.5439931038959,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2017",15.3502468739415,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",17.5454023879345,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",21.1119293132967,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",23.9646522637749,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",27.5045204389783,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",26.2552585307185,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2015",8.47909203789218,6.2716496440629e-06,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",12.1396053586845,3.76013167269207e-08,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",15.0086197729834,9.82845304031699e-08,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",17.2574793043782,3.76013167269207e-08,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",20.9171559334347,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",23.8295682113781,1.47535053507397e-07,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",27.4701131557916,3.65561634296796e-08,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",26.1950904305589,0,"two.sided","q","Holm","Games-Howell"
"2013","2015",10.6324134284041,0,"two.sided","q","Holm","Games-Howell"
"2013","2016",14.2715032874453,0,"two.sided","q","Holm","Games-Howell"
"2013","2017",17.1666278852727,0,"two.sided","q","Holm","Games-Howell"
"2013","2018",19.4345535967193,0,"two.sided","q","Holm","Games-Howell"
"2013","2019",23.1037879823649,0,"two.sided","q","Holm","Games-Howell"
"2013","2020",25.9376988813025,0,"two.sided","q","Holm","Games-Howell"
"2013","2021",29.5957609878414,0,"two.sided","q","Holm","Games-Howell"
"2013","2022",28.3500277852578,0,"two.sided","q","Holm","Games-Howell"
"2014","2016",9.32720278797043,9.58865783218243e-07,"two.sided","q","Holm","Games-Howell"
"2014","2017",12.1654335930958,1.0192171864265e-06,"two.sided","q","Holm","Games-Howell"
"2014","2018",14.3923533649698,9.88383452749098e-07,"two.sided","q","Holm","Games-Howell"
"2014","2019",18.0459508317835,9.58865783218243e-07,"two.sided","q","Holm","Games-Howell"
"2014","2020",21.0696116909811,1.16513577186339e-06,"two.sided","q","Holm","Games-Howell"
"2014","2021",24.6939784002809,1.06666864851945e-06,"two.sided","q","Holm","Games-Howell"
"2014","2022",23.3771590319243,9.58865783218243e-07,"two.sided","q","Holm","Games-Howell"
"2015","2017",6.37168141865049,0.0132081706331442,"two.sided","q","Holm","Games-Howell"
"2015","2018",8.48578836535079,7.06982997811245e-06,"two.sided","q","Holm","Games-Howell"
"2015","2019",12.0128731291213,1.42696858196345e-06,"two.sided","q","Holm","Games-Howell"
"2015","2020",15.2069377206007,1.35419401359194e-06,"two.sided","q","Holm","Games-Howell"
"2015","2021",18.6731394465597,1.35419401359194e-06,"two.sided","q","Holm","Games-Howell"
"2015","2022",17.2962467683056,1.42696858196345e-06,"two.sided","q","Holm","Games-Howell"
"2016","2019",8.12035579730819,2.59410093726986e-05,"two.sided","q","Holm","Games-Howell"
"2016","2020",11.4356077418204,0,"two.sided","q","Holm","Games-Howell"
"2016","2021",14.8145127535973,0,"two.sided","q","Holm","Games-Howell"
"2016","2022",13.3941115807099,0,"two.sided","q","Holm","Games-Howell"
"2017","2020",9.0327048483442,7.28750143341728e-07,"two.sided","q","Holm","Games-Howell"
"2017","2021",12.4492454965644,0,"two.sided","q","Holm","Games-Howell"
"2017","2022",10.9662625179116,0,"two.sided","q","Holm","Games-Howell"
"2018","2020",7.14373471102015,0.000997969451513314,"two.sided","q","Holm","Games-Howell"
"2018","2021",10.5860340005562,2.7810853620025e-10,"two.sided","q","Holm","Games-Howell"
"2018","2022",9.0514236166793,6.80675031339284e-07,"two.sided","q","Holm","Games-Howell"
"2019","2021",7.23490801073699,0.000768496006832042,"two.sided","q","Holm","Games-Howell"
"pre2000","2007-2010",7.24370721249318,0.000768496006832042,"two.sided","q","Holm","Games-Howell"
"pre2000","2011-2012",8.09333461989167,2.93300291049903e-05,"two.sided","q","Holm","Games-Howell"
"pre2000","2014",11.1574679967824,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2015",16.8191392107516,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",20.5733576264991,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",23.7165112245665,6.5497063328479e-08,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",26.1858044367974,1.34118077754763e-08,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",30.1197173651507,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",32.8119423952529,1.20811893822292e-07,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",36.7829160132651,1.9150936836354e-08,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",35.5818722483616,0,"two.sided","q","Holm","Games-Howell"
