"scientific_name","timePeriod","n_grids"
"Abroscopus albogularis","2000-2006",6
"Abroscopus albogularis","2007-2010",2
"Abroscopus albogularis","2011-2012",5
"Abroscopus albogularis","2013",5
"Abroscopus albogularis","2014",3
"Abroscopus albogularis","2015",7
"Abroscopus albogularis","2016",8
"Abroscopus albogularis","2017",6
"Abroscopus albogularis","2018",6
"Abroscopus albogularis","2019",7
"Abroscopus albogularis","2020",7
"Abroscopus albogularis","2021",8
"Abroscopus albogularis","2022",9
"Abroscopus albogularis","pre2000",3
"Abroscopus schisticeps","2000-2006",9
"Abroscopus schisticeps","2007-2010",13
"Abroscopus schisticeps","2011-2012",12
"Abroscopus schisticeps","2013",10
"Abroscopus schisticeps","2014",10
"Abroscopus schisticeps","2015",20
"Abroscopus schisticeps","2016",19
"Abroscopus schisticeps","2017",23
"Abroscopus schisticeps","2018",29
"Abroscopus schisticeps","2019",25
"Abroscopus schisticeps","2020",18
"Abroscopus schisticeps","2021",34
"Abroscopus schisticeps","2022",35
"Abroscopus schisticeps","pre2000",4
"Abroscopus superciliaris","2000-2006",5
"Abroscopus superciliaris","2007-2010",7
"Abroscopus superciliaris","2011-2012",12
"Abroscopus superciliaris","2013",7
"Abroscopus superciliaris","2014",8
"Abroscopus superciliaris","2015",16
"Abroscopus superciliaris","2016",13
"Abroscopus superciliaris","2017",14
"Abroscopus superciliaris","2018",16
"Abroscopus superciliaris","2019",17
"Abroscopus superciliaris","2020",15
"Abroscopus superciliaris","2021",37
"Abroscopus superciliaris","2022",22
"Abroscopus superciliaris","pre2000",3
"Accipiter badius","2000-2006",191
"Accipiter badius","2007-2010",245
"Accipiter badius","2011-2012",253
"Accipiter badius","2013",222
"Accipiter badius","2014",364
"Accipiter badius","2015",509
"Accipiter badius","2016",623
"Accipiter badius","2017",689
"Accipiter badius","2018",740
"Accipiter badius","2019",826
"Accipiter badius","2020",859
"Accipiter badius","2021",1020
"Accipiter badius","2022",904
"Accipiter badius","pre2000",146
"Accipiter butleri","2011-2012",1
"Accipiter butleri","2021",1
"Accipiter gentilis","2000-2006",4
"Accipiter gentilis","2007-2010",4
"Accipiter gentilis","2011-2012",1
"Accipiter gentilis","2013",1
"Accipiter gentilis","2014",1
"Accipiter gentilis","2015",6
"Accipiter gentilis","2016",2
"Accipiter gentilis","2017",5
"Accipiter gentilis","2018",9
"Accipiter gentilis","2019",7
"Accipiter gentilis","2020",4
"Accipiter gentilis","2021",8
"Accipiter gentilis","2022",4
"Accipiter gentilis","pre2000",4
"Accipiter gularis","2007-2010",1
"Accipiter gularis","2014",3
"Accipiter gularis","2016",2
"Accipiter gularis","2017",3
"Accipiter gularis","2018",1
"Accipiter gularis","2019",2
"Accipiter gularis","2020",1
"Accipiter gularis","2021",1
"Accipiter gularis","2022",1
"Accipiter nisus","2000-2006",56
"Accipiter nisus","2007-2010",65
"Accipiter nisus","2011-2012",62
"Accipiter nisus","2013",42
"Accipiter nisus","2014",65
"Accipiter nisus","2015",82
"Accipiter nisus","2016",132
"Accipiter nisus","2017",150
"Accipiter nisus","2018",156
"Accipiter nisus","2019",172
"Accipiter nisus","2020",230
"Accipiter nisus","2021",228
"Accipiter nisus","2022",164
"Accipiter nisus","pre2000",44
"Accipiter soloensis","2013",1
"Accipiter soloensis","2014",1
"Accipiter soloensis","2015",1
"Accipiter soloensis","2016",2
"Accipiter soloensis","2017",3
"Accipiter soloensis","2018",4
"Accipiter soloensis","2019",4
"Accipiter soloensis","2020",3
"Accipiter soloensis","2021",4
"Accipiter soloensis","2022",2
"Accipiter trivirgatus","2000-2006",37
"Accipiter trivirgatus","2007-2010",52
"Accipiter trivirgatus","2011-2012",47
"Accipiter trivirgatus","2013",24
"Accipiter trivirgatus","2014",46
"Accipiter trivirgatus","2015",61
"Accipiter trivirgatus","2016",82
"Accipiter trivirgatus","2017",84
"Accipiter trivirgatus","2018",89
"Accipiter trivirgatus","2019",93
"Accipiter trivirgatus","2020",102
"Accipiter trivirgatus","2021",130
"Accipiter trivirgatus","2022",107
"Accipiter trivirgatus","pre2000",28
"Accipiter virgatus","2000-2006",27
"Accipiter virgatus","2007-2010",37
"Accipiter virgatus","2011-2012",25
"Accipiter virgatus","2013",13
"Accipiter virgatus","2014",18
"Accipiter virgatus","2015",33
"Accipiter virgatus","2016",43
"Accipiter virgatus","2017",46
"Accipiter virgatus","2018",47
"Accipiter virgatus","2019",50
"Accipiter virgatus","2020",40
"Accipiter virgatus","2021",57
"Accipiter virgatus","2022",41
"Accipiter virgatus","pre2000",13
"Aceros nipalensis","2000-2006",4
"Aceros nipalensis","2007-2010",6
"Aceros nipalensis","2011-2012",7
"Aceros nipalensis","2013",5
"Aceros nipalensis","2014",5
"Aceros nipalensis","2015",6
"Aceros nipalensis","2016",9
"Aceros nipalensis","2017",10
"Aceros nipalensis","2018",9
"Aceros nipalensis","2019",11
"Aceros nipalensis","2020",9
"Aceros nipalensis","2021",12
"Aceros nipalensis","2022",12
"Aceros nipalensis","pre2000",3
"Acridotheres fuscus","2000-2006",123
"Acridotheres fuscus","2007-2010",138
"Acridotheres fuscus","2011-2012",138
"Acridotheres fuscus","2013",128
"Acridotheres fuscus","2014",210
"Acridotheres fuscus","2015",272
"Acridotheres fuscus","2016",338
"Acridotheres fuscus","2017",372
"Acridotheres fuscus","2018",379
"Acridotheres fuscus","2019",413
"Acridotheres fuscus","2020",416
"Acridotheres fuscus","2021",477
"Acridotheres fuscus","2022",466
"Acridotheres fuscus","pre2000",96
"Acridotheres ginginianus","2000-2006",65
"Acridotheres ginginianus","2007-2010",96
"Acridotheres ginginianus","2011-2012",86
"Acridotheres ginginianus","2013",72
"Acridotheres ginginianus","2014",106
"Acridotheres ginginianus","2015",127
"Acridotheres ginginianus","2016",167
"Acridotheres ginginianus","2017",216
"Acridotheres ginginianus","2018",208
"Acridotheres ginginianus","2019",238
"Acridotheres ginginianus","2020",249
"Acridotheres ginginianus","2021",281
"Acridotheres ginginianus","2022",251
"Acridotheres ginginianus","pre2000",54
"Acridotheres grandis","2000-2006",11
"Acridotheres grandis","2007-2010",15
"Acridotheres grandis","2011-2012",12
"Acridotheres grandis","2013",14
"Acridotheres grandis","2014",14
"Acridotheres grandis","2015",17
"Acridotheres grandis","2016",26
"Acridotheres grandis","2017",24
"Acridotheres grandis","2018",32
"Acridotheres grandis","2019",37
"Acridotheres grandis","2020",43
"Acridotheres grandis","2021",56
"Acridotheres grandis","2022",45
"Acridotheres grandis","pre2000",5
"Acridotheres tristis","2000-2006",236
"Acridotheres tristis","2007-2010",316
"Acridotheres tristis","2011-2012",316
"Acridotheres tristis","2013",295
"Acridotheres tristis","2014",509
"Acridotheres tristis","2015",685
"Acridotheres tristis","2016",818
"Acridotheres tristis","2017",957
"Acridotheres tristis","2018",1007
"Acridotheres tristis","2019",1109
"Acridotheres tristis","2020",1113
"Acridotheres tristis","2021",1294
"Acridotheres tristis","2022",1281
"Acridotheres tristis","pre2000",242
"Acrocephalus agricola","2000-2006",22
"Acrocephalus agricola","2007-2010",54
"Acrocephalus agricola","2011-2012",42
"Acrocephalus agricola","2013",40
"Acrocephalus agricola","2014",50
"Acrocephalus agricola","2015",76
"Acrocephalus agricola","2016",98
"Acrocephalus agricola","2017",123
"Acrocephalus agricola","2018",136
"Acrocephalus agricola","2019",152
"Acrocephalus agricola","2020",181
"Acrocephalus agricola","2021",200
"Acrocephalus agricola","2022",135
"Acrocephalus agricola","pre2000",15
"Acrocephalus arundinaceus","pre2000",1
"Acrocephalus bistrigiceps","2000-2006",1
"Acrocephalus bistrigiceps","2007-2010",1
"Acrocephalus bistrigiceps","2011-2012",2
"Acrocephalus bistrigiceps","2014",5
"Acrocephalus bistrigiceps","2015",1
"Acrocephalus bistrigiceps","2016",3
"Acrocephalus bistrigiceps","2017",1
"Acrocephalus bistrigiceps","2018",6
"Acrocephalus bistrigiceps","2019",8
"Acrocephalus bistrigiceps","2020",6
"Acrocephalus bistrigiceps","2021",4
"Acrocephalus bistrigiceps","2022",5
"Acrocephalus bistrigiceps","pre2000",1
"Acrocephalus concinens","2000-2006",2
"Acrocephalus concinens","2007-2010",3
"Acrocephalus concinens","2011-2012",3
"Acrocephalus concinens","2014",2
"Acrocephalus concinens","2015",5
"Acrocephalus concinens","2016",1
"Acrocephalus concinens","2017",4
"Acrocephalus concinens","2018",1
"Acrocephalus concinens","2019",1
"Acrocephalus concinens","2020",1
"Acrocephalus concinens","2021",3
"Acrocephalus concinens","2022",2
"Acrocephalus concinens","pre2000",1
"Acrocephalus dumetorum","2000-2006",113
"Acrocephalus dumetorum","2007-2010",168
"Acrocephalus dumetorum","2011-2012",145
"Acrocephalus dumetorum","2013",145
"Acrocephalus dumetorum","2014",226
"Acrocephalus dumetorum","2015",304
"Acrocephalus dumetorum","2016",393
"Acrocephalus dumetorum","2017",469
"Acrocephalus dumetorum","2018",493
