"scientific_name","timePeriod","n_grids"
"Abroscopus albogularis","2000-2006",4
"Abroscopus albogularis","2007-2010",6
"Abroscopus albogularis","2011-2012",3
"Abroscopus albogularis","2013",1
"Abroscopus albogularis","2014",2
"Abroscopus albogularis","2015",13
"Abroscopus albogularis","2016",3
"Abroscopus albogularis","2017",9
"Abroscopus albogularis","2018",13
"Abroscopus albogularis","2019",6
"Abroscopus albogularis","2020",7
"Abroscopus albogularis","2021",9
"Abroscopus albogularis","2022",13
"Abroscopus albogularis","pre2000",1
"Abroscopus schisticeps","2000-2006",6
"Abroscopus schisticeps","2007-2010",11
"Abroscopus schisticeps","2011-2012",11
"Abroscopus schisticeps","2013",9
"Abroscopus schisticeps","2014",16
"Abroscopus schisticeps","2015",15
"Abroscopus schisticeps","2016",18
"Abroscopus schisticeps","2017",30
"Abroscopus schisticeps","2018",27
"Abroscopus schisticeps","2019",37
"Abroscopus schisticeps","2020",23
"Abroscopus schisticeps","2021",37
"Abroscopus schisticeps","2022",31
"Abroscopus schisticeps","pre2000",7
"Abroscopus superciliaris","2000-2006",3
"Abroscopus superciliaris","2007-2010",5
"Abroscopus superciliaris","2011-2012",10
"Abroscopus superciliaris","2013",6
"Abroscopus superciliaris","2014",11
"Abroscopus superciliaris","2015",18
"Abroscopus superciliaris","2016",15
"Abroscopus superciliaris","2017",21
"Abroscopus superciliaris","2018",20
"Abroscopus superciliaris","2019",29
"Abroscopus superciliaris","2020",19
"Abroscopus superciliaris","2021",42
"Abroscopus superciliaris","2022",34
"Abroscopus superciliaris","pre2000",7
"Accipiter badius","2000-2006",198
"Accipiter badius","2007-2010",233
"Accipiter badius","2011-2012",236
"Accipiter badius","2013",215
"Accipiter badius","2014",502
"Accipiter badius","2015",662
"Accipiter badius","2016",835
"Accipiter badius","2017",1033
"Accipiter badius","2018",1170
"Accipiter badius","2019",1336
"Accipiter badius","2020",1367
"Accipiter badius","2021",1637
"Accipiter badius","2022",1493
"Accipiter badius","pre2000",259
"Accipiter butleri","2011-2012",1
"Accipiter butleri","2016",1
"Accipiter butleri","2019",1
"Accipiter butleri","2021",1
"Accipiter butleri","2022",1
"Accipiter gentilis","2000-2006",3
"Accipiter gentilis","2007-2010",2
"Accipiter gentilis","2011-2012",1
"Accipiter gentilis","2013",2
"Accipiter gentilis","2014",1
"Accipiter gentilis","2015",5
"Accipiter gentilis","2016",3
"Accipiter gentilis","2017",1
"Accipiter gentilis","2018",3
"Accipiter gentilis","2019",6
"Accipiter gentilis","2020",4
"Accipiter gentilis","2021",6
"Accipiter gentilis","2022",4
"Accipiter gentilis","pre2000",3
"Accipiter gularis","2019",2
"Accipiter gularis","2021",1
"Accipiter nisus","2000-2006",36
"Accipiter nisus","2007-2010",36
"Accipiter nisus","2011-2012",36
"Accipiter nisus","2013",33
"Accipiter nisus","2014",45
"Accipiter nisus","2015",66
"Accipiter nisus","2016",103
"Accipiter nisus","2017",130
"Accipiter nisus","2018",172
"Accipiter nisus","2019",199
"Accipiter nisus","2020",229
"Accipiter nisus","2021",267
"Accipiter nisus","2022",182
"Accipiter nisus","pre2000",58
"Accipiter soloensis","2015",3
"Accipiter soloensis","2017",2
"Accipiter soloensis","2018",3
"Accipiter soloensis","2019",5
"Accipiter soloensis","2020",3
"Accipiter soloensis","2021",4
"Accipiter soloensis","2022",3
"Accipiter trivirgatus","2000-2006",21
"Accipiter trivirgatus","2007-2010",36
"Accipiter trivirgatus","2011-2012",20
"Accipiter trivirgatus","2013",20
"Accipiter trivirgatus","2014",34
"Accipiter trivirgatus","2015",59
"Accipiter trivirgatus","2016",76
"Accipiter trivirgatus","2017",87
"Accipiter trivirgatus","2018",110
"Accipiter trivirgatus","2019",93
"Accipiter trivirgatus","2020",107
"Accipiter trivirgatus","2021",124
"Accipiter trivirgatus","2022",121
"Accipiter trivirgatus","pre2000",18
"Accipiter virgatus","2000-2006",28
"Accipiter virgatus","2007-2010",15
"Accipiter virgatus","2011-2012",16
"Accipiter virgatus","2013",6
"Accipiter virgatus","2014",22
"Accipiter virgatus","2015",30
"Accipiter virgatus","2016",30
"Accipiter virgatus","2017",36
"Accipiter virgatus","2018",50
"Accipiter virgatus","2019",50
"Accipiter virgatus","2020",36
"Accipiter virgatus","2021",54
"Accipiter virgatus","2022",42
"Accipiter virgatus","pre2000",24
"Aceros nipalensis","2000-2006",5
"Aceros nipalensis","2007-2010",4
"Aceros nipalensis","2011-2012",5
"Aceros nipalensis","2013",3
"Aceros nipalensis","2014",4
"Aceros nipalensis","2015",8
"Aceros nipalensis","2016",10
"Aceros nipalensis","2017",9
"Aceros nipalensis","2018",13
"Aceros nipalensis","2019",13
"Aceros nipalensis","2020",9
"Aceros nipalensis","2021",13
"Aceros nipalensis","2022",11
"Aceros nipalensis","pre2000",5
"Acridotheres albocinctus","pre2000",1
"Acridotheres fuscus","2000-2006",96
"Acridotheres fuscus","2007-2010",133
"Acridotheres fuscus","2011-2012",128
"Acridotheres fuscus","2013",138
"Acridotheres fuscus","2014",269
"Acridotheres fuscus","2015",339
"Acridotheres fuscus","2016",402
"Acridotheres fuscus","2017",474
"Acridotheres fuscus","2018",535
"Acridotheres fuscus","2019",586
"Acridotheres fuscus","2020",594
"Acridotheres fuscus","2021",697
"Acridotheres fuscus","2022",661
"Acridotheres fuscus","pre2000",136
"Acridotheres ginginianus","2000-2006",79
"Acridotheres ginginianus","2007-2010",93
"Acridotheres ginginianus","2011-2012",91
"Acridotheres ginginianus","2013",75
"Acridotheres ginginianus","2014",139
"Acridotheres ginginianus","2015",203
"Acridotheres ginginianus","2016",264
"Acridotheres ginginianus","2017",348
"Acridotheres ginginianus","2018",391
"Acridotheres ginginianus","2019",499
"Acridotheres ginginianus","2020",482
"Acridotheres ginginianus","2021",526
"Acridotheres ginginianus","2022",462
"Acridotheres ginginianus","pre2000",104
"Acridotheres grandis","2000-2006",4
"Acridotheres grandis","2007-2010",8
"Acridotheres grandis","2011-2012",9
"Acridotheres grandis","2013",12
"Acridotheres grandis","2014",19
"Acridotheres grandis","2015",30
"Acridotheres grandis","2016",32
"Acridotheres grandis","2017",29
"Acridotheres grandis","2018",44
"Acridotheres grandis","2019",57
"Acridotheres grandis","2020",45
"Acridotheres grandis","2021",81
"Acridotheres grandis","2022",72
"Acridotheres grandis","pre2000",11
"Acridotheres tristis","2000-2006",328
"Acridotheres tristis","2007-2010",386
"Acridotheres tristis","2011-2012",377
"Acridotheres tristis","2013",394
"Acridotheres tristis","2014",859
"Acridotheres tristis","2015",1125
"Acridotheres tristis","2016",1345
"Acridotheres tristis","2017",1699
"Acridotheres tristis","2018",1864
"Acridotheres tristis","2019",2155
"Acridotheres tristis","2020",2080
"Acridotheres tristis","2021",2422
"Acridotheres tristis","2022",2296
"Acridotheres tristis","pre2000",548
"Acrocephalus agricola","2000-2006",13
"Acrocephalus agricola","2007-2010",33
"Acrocephalus agricola","2011-2012",37
"Acrocephalus agricola","2013",25
"Acrocephalus agricola","2014",46
"Acrocephalus agricola","2015",60
"Acrocephalus agricola","2016",82
"Acrocephalus agricola","2017",103
"Acrocephalus agricola","2018",114
"Acrocephalus agricola","2019",124
"Acrocephalus agricola","2020",174
"Acrocephalus agricola","2021",190
"Acrocephalus agricola","2022",111
"Acrocephalus agricola","pre2000",29
"Acrocephalus arundinaceus","pre2000",1
"Acrocephalus bistrigiceps","2007-2010",1
"Acrocephalus bistrigiceps","2011-2012",1
"Acrocephalus bistrigiceps","2014",2
"Acrocephalus bistrigiceps","2015",3
"Acrocephalus bistrigiceps","2017",2
"Acrocephalus bistrigiceps","2018",1
"Acrocephalus bistrigiceps","2019",4
"Acrocephalus bistrigiceps","2020",6
"Acrocephalus bistrigiceps","2021",9
"Acrocephalus bistrigiceps","2022",2
"Acrocephalus concinens","2011-2012",1
"Acrocephalus concinens","2013",1
"Acrocephalus concinens","2014",1
"Acrocephalus concinens","2015",4
"Acrocephalus concinens","2016",2
"Acrocephalus concinens","2017",2
"Acrocephalus concinens","2018",2
"Acrocephalus concinens","2019",1
"Acrocephalus concinens","2020",1
"Acrocephalus concinens","2021",5
"Acrocephalus concinens","2022",3
"Acrocephalus concinens","pre2000",1
"Acrocephalus dumetorum","2000-2006",109
"Acrocephalus dumetorum","2007-2010",188
"Acrocephalus dumetorum","2011-2012",161
"Acrocephalus dumetorum","2013",138
"Acrocephalus dumetorum","2014",243
"Acrocephalus dumetorum","2015",330
"Acrocephalus dumetorum","2016",430
"Acrocephalus dumetorum","2017",535
"Acrocephalus dumetorum","2018",633
"Acrocephalus dumetorum","2019",705
"Acrocephalus dumetorum","2020",782
"Acrocephalus dumetorum","2021",859
"Acrocephalus dumetorum","2022",667
"Acrocephalus dumetorum","pre2000",191
"Acrocephalus melanopogon","2000-2006",2
"Acrocephalus melanopogon","2011-2012",2
"Acrocephalus melanopogon","2013",2
"Acrocephalus melanopogon","2014",3
"Acrocephalus melanopogon","2015",6
"Acrocephalus melanopogon","2016",7
"Acrocephalus melanopogon","2017",5
