"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2015",7.79084449327051,0.00017467345608424,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",10.7866822961547,3.091472633443e-10,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",12.8651035562217,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",13.6472694853144,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",15.7871591456554,3.44515527217482e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",16.1116893348868,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",18.683830586311,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",16.6802626821163,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2016",7.69080932991314,0.000241269521696452,"two.sided","q","Holm","Games-Howell"
"2007-2010","2017",9.84092734198308,2.3730664877597e-08,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",10.6644504333792,1.35476896367948e-09,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",12.8604055820641,6.35458352604701e-10,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",13.21783359022,9.48769063313648e-10,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",15.8855533552376,6.35458352604701e-10,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",13.7569142748905,3.79797526761649e-10,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",9.28268961295991,3.05494574082132e-07,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",11.5453955926464,2.93855428878942e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",12.4000502831533,3.14996662087452e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",14.7458250818499,3.06648040293567e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",15.098529307961,3.14996662087452e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",17.9358952358153,3.13213677216595e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",15.7383281279411,2.72449796057117e-09,"two.sided","q","Holm","Games-Howell"
"2013","2015",7.26973549074576,0.00116191852013425,"two.sided","q","Holm","Games-Howell"
"2013","2016",10.5097647396396,1.73699943317729e-09,"two.sided","q","Holm","Games-Howell"
"2013","2017",12.7686924379106,1.07761566336961e-09,"two.sided","q","Holm","Games-Howell"
"2013","2018",13.615027168008,1.28315513769905e-09,"two.sided","q","Holm","Games-Howell"
"2013","2019",15.9685258131138,1.03816777397014e-09,"two.sided","q","Holm","Games-Howell"
"2013","2020",16.3093851466783,1.25076615731246e-09,"two.sided","q","Holm","Games-Howell"
"2013","2021",19.1442335029911,1.03816777397014e-09,"two.sided","q","Holm","Games-Howell"
"2013","2022",16.9766364740733,6.35458352604701e-10,"two.sided","q","Holm","Games-Howell"
"2014","2016",7.2574056319229,0.00116433194849352,"two.sided","q","Holm","Games-Howell"
"2014","2017",9.49654875967936,1.15775591780221e-07,"two.sided","q","Holm","Games-Howell"
"2014","2018",10.3546914461429,4.65283611639222e-09,"two.sided","q","Holm","Games-Howell"
"2014","2019",12.6513553869776,3.06814174066972e-09,"two.sided","q","Holm","Games-Howell"
"2014","2020",13.0216331841649,2.47767006911204e-09,"two.sided","q","Holm","Games-Howell"
"2014","2021",15.8187372932837,2.39141684232891e-09,"two.sided","q","Holm","Games-Howell"
"2014","2022",13.5974889705237,3.22756821269365e-09,"two.sided","q","Holm","Games-Howell"
"2015","2018",6.16689721333787,0.0458914981479948,"two.sided","q","Holm","Games-Howell"
"2015","2019",8.32361857699808,1.91211098796717e-05,"two.sided","q","Holm","Games-Howell"
"2015","2020",8.72512113937009,3.45215326191806e-06,"two.sided","q","Holm","Games-Howell"
"2015","2021",11.3893668902417,0,"two.sided","q","Holm","Games-Howell"
"2015","2022",9.15519230451436,5.04062212636214e-07,"two.sided","q","Holm","Games-Howell"
"2016","2021",8.16010522078061,3.64183963550424e-05,"two.sided","q","Holm","Games-Howell"
"pre2000","2015",9.51366159271928,1.23638036475526e-07,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",12.4255787140872,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",14.4495237606866,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",15.2052047192811,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",17.2943745370547,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",17.6019325379545,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",20.1003067139763,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",18.1727578706607,4.30389057726188e-11,"two.sided","q","Holm","Games-Howell"
