"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2007-2010",6.74313772935248,0.00398859143494645,"two.sided","q","Holm","Games-Howell"
"2000-2006","2011-2012",6.47798332530802,0.009256438396819,"two.sided","q","Holm","Games-Howell"
"2000-2006","2014",11.1852492403611,2.36668484809854e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2015",17.2105524947988,3.21668858216384e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",21.2864465324647,3.22079030112832e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",26.0873983289118,3.22079030112832e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",28.6579614459501,2.92758661757375e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",33.0128674794168,2.09121164829185e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",34.8461401284683,3.22079030112832e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",39.6910318301736,2.43610431827079e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",38.1546386861744,1.95426164140144e-09,"two.sided","q","Holm","Games-Howell"
"2007-2010","2015",10.762262387776,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2016",14.9659359013013,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2017",19.841518914822,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",22.389515286106,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",26.7997136475518,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",28.8877975637999,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",33.7783139193761,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",32.1367753889675,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2015",11.3619313892796,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",15.6475754509408,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",20.6376835373032,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",23.266965569923,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",27.8060098438594,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",29.8755427030502,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",34.9241647603894,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",33.2653489735641,0,"two.sided","q","Holm","Games-Howell"
"2013","2014",6.77452850467083,0.00367444426999874,"two.sided","q","Holm","Games-Howell"
"2013","2015",13.1376702758403,0,"two.sided","q","Holm","Games-Howell"
"2013","2016",17.4097586309417,0,"two.sided","q","Holm","Games-Howell"
"2013","2017",22.4092536999201,0,"two.sided","q","Holm","Games-Howell"
"2013","2018",25.0657908662432,0,"two.sided","q","Holm","Games-Howell"
"2013","2019",29.622846748502,0,"two.sided","q","Holm","Games-Howell"
"2013","2020",31.6179336656589,0,"two.sided","q","Holm","Games-Howell"
"2013","2021",36.6943203967287,0,"two.sided","q","Holm","Games-Howell"
"2013","2022",35.0598405419875,0,"two.sided","q","Holm","Games-Howell"
"2014","2015",6.46918503089161,0.009256438396819,"two.sided","q","Holm","Games-Howell"
"2014","2016",10.7500333175298,1.35498753550678e-07,"two.sided","q","Holm","Games-Howell"
"2014","2017",15.6586656285547,3.97346626823669e-07,"two.sided","q","Holm","Games-Howell"
"2014","2018",18.1755852418023,3.41370844925137e-07,"two.sided","q","Holm","Games-Howell"
"2014","2019",22.6028020195262,2.9450387128982e-07,"two.sided","q","Holm","Games-Howell"
"2014","2020",24.8785303116279,6.4447103520493e-07,"two.sided","q","Holm","Games-Howell"
"2014","2021",29.7749913227064,4.4375769725491e-07,"two.sided","q","Holm","Games-Howell"
"2014","2022",28.0603169500654,3.02459118195486e-07,"two.sided","q","Holm","Games-Howell"
"2015","2017",8.95614962997276,1.67827108632501e-06,"two.sided","q","Holm","Games-Howell"
"2015","2018",11.2842700649876,1.19929190578461e-06,"two.sided","q","Holm","Games-Howell"
"2015","2019",15.4921753954868,1.19929190578461e-06,"two.sided","q","Holm","Games-Howell"
"2015","2020",18.0281407831284,1.25726412392169e-06,"two.sided","q","Holm","Games-Howell"
"2015","2021",22.6372204306288,1.25726412392169e-06,"two.sided","q","Holm","Games-Howell"
"2015","2022",20.8668303242693,1.19929190578461e-06,"two.sided","q","Holm","Games-Howell"
"2016","2018",6.90315037095549,0.00238415912234002,"two.sided","q","Holm","Games-Howell"
"2016","2019",11.0194418005922,1.25726412392169e-06,"two.sided","q","Holm","Games-Howell"
"2016","2020",13.7354462463583,1.01290081655492e-06,"two.sided","q","Holm","Games-Howell"
"2016","2021",18.2190258588579,1.03807513307519e-06,"two.sided","q","Holm","Games-Howell"
"2016","2022",16.3987013571051,1.25028045183662e-06,"two.sided","q","Holm","Games-Howell"
"2017","2019",6.255567029893,0.0165959090605039,"two.sided","q","Holm","Games-Howell"
"2017","2020",9.21106973914495,3.13410384866764e-07,"two.sided","q","Holm","Games-Howell"
