"scientific_name","timePeriod","n_grids"
"Abroscopus albogularis","2013",1
"Abroscopus albogularis","2015",8
"Abroscopus albogularis","2016",1
"Abroscopus albogularis","2018",2
"Abroscopus albogularis","2019",1
"Abroscopus albogularis","2020",1
"Abroscopus albogularis","2021",2
"Abroscopus albogularis","2022",4
"Abroscopus schisticeps","2007-2010",1
"Abroscopus schisticeps","2013",3
"Abroscopus schisticeps","2014",1
"Abroscopus schisticeps","2015",6
"Abroscopus schisticeps","2016",6
"Abroscopus schisticeps","2017",6
"Abroscopus schisticeps","2018",11
"Abroscopus schisticeps","2019",14
"Abroscopus schisticeps","2020",10
"Abroscopus schisticeps","2021",18
"Abroscopus schisticeps","2022",17
"Abroscopus superciliaris","2007-2010",1
"Abroscopus superciliaris","2015",7
"Abroscopus superciliaris","2016",2
"Abroscopus superciliaris","2017",1
"Abroscopus superciliaris","2018",5
"Abroscopus superciliaris","2019",10
"Abroscopus superciliaris","2020",9
"Abroscopus superciliaris","2021",15
"Abroscopus superciliaris","2022",14
"Accipiter badius","2000-2006",32
"Accipiter badius","2007-2010",60
"Accipiter badius","2011-2012",59
"Accipiter badius","2013",71
"Accipiter badius","2014",187
"Accipiter badius","2015",290
"Accipiter badius","2016",400
"Accipiter badius","2017",504
"Accipiter badius","2018",566
"Accipiter badius","2019",681
"Accipiter badius","2020",775
"Accipiter badius","2021",917
"Accipiter badius","2022",775
"Accipiter badius","pre2000",23
"Accipiter gentilis","2015",2
"Accipiter gentilis","2016",1
"Accipiter gentilis","2017",1
"Accipiter gentilis","2019",2
"Accipiter gentilis","2021",3
"Accipiter gularis","2019",1
"Accipiter gularis","2020",1
"Accipiter gularis","2021",1
"Accipiter nisus","2000-2006",3
"Accipiter nisus","2007-2010",5
"Accipiter nisus","2011-2012",3
"Accipiter nisus","2013",6
"Accipiter nisus","2014",10
"Accipiter nisus","2015",23
"Accipiter nisus","2016",37
"Accipiter nisus","2017",37
"Accipiter nisus","2018",46
"Accipiter nisus","2019",68
"Accipiter nisus","2020",87
"Accipiter nisus","2021",105
"Accipiter nisus","2022",66
"Accipiter nisus","pre2000",2
"Accipiter soloensis","2015",1
"Accipiter soloensis","2019",1
"Accipiter soloensis","2020",2
"Accipiter soloensis","2021",2
"Accipiter trivirgatus","2007-2010",3
"Accipiter trivirgatus","2011-2012",6
"Accipiter trivirgatus","2013",5
"Accipiter trivirgatus","2014",10
"Accipiter trivirgatus","2015",22
"Accipiter trivirgatus","2016",27
"Accipiter trivirgatus","2017",32
"Accipiter trivirgatus","2018",42
"Accipiter trivirgatus","2019",33
"Accipiter trivirgatus","2020",48
"Accipiter trivirgatus","2021",58
"Accipiter trivirgatus","2022",45
"Accipiter trivirgatus","pre2000",2
"Accipiter virgatus","2000-2006",4
"Accipiter virgatus","2011-2012",2
"Accipiter virgatus","2013",2
"Accipiter virgatus","2014",2
"Accipiter virgatus","2015",9
"Accipiter virgatus","2016",10
"Accipiter virgatus","2017",13
"Accipiter virgatus","2018",17
"Accipiter virgatus","2019",21
"Accipiter virgatus","2020",12
"Accipiter virgatus","2021",12
"Accipiter virgatus","2022",18
"Accipiter virgatus","pre2000",2
"Aceros nipalensis","2011-2012",1
"Aceros nipalensis","2013",1
"Aceros nipalensis","2015",2
"Aceros nipalensis","2016",3
"Aceros nipalensis","2017",1
"Aceros nipalensis","2018",7
"Aceros nipalensis","2019",4
"Aceros nipalensis","2020",4
"Aceros nipalensis","2021",2
"Aceros nipalensis","2022",6
"Acridotheres fuscus","2000-2006",10
"Acridotheres fuscus","2007-2010",19
"Acridotheres fuscus","2011-2012",30
"Acridotheres fuscus","2013",37
"Acridotheres fuscus","2014",121
"Acridotheres fuscus","2015",165
"Acridotheres fuscus","2016",220
"Acridotheres fuscus","2017",270
"Acridotheres fuscus","2018",300
"Acridotheres fuscus","2019",342
"Acridotheres fuscus","2020",374
"Acridotheres fuscus","2021",421
"Acridotheres fuscus","2022",405
"Acridotheres fuscus","pre2000",23
"Acridotheres ginginianus","2000-2006",7
"Acridotheres ginginianus","2007-2010",15
"Acridotheres ginginianus","2011-2012",13
"Acridotheres ginginianus","2013",15
"Acridotheres ginginianus","2014",34
"Acridotheres ginginianus","2015",58
"Acridotheres ginginianus","2016",92
"Acridotheres ginginianus","2017",154
"Acridotheres ginginianus","2018",131
"Acridotheres ginginianus","2019",189
"Acridotheres ginginianus","2020",205
"Acridotheres ginginianus","2021",258
"Acridotheres ginginianus","2022",223
"Acridotheres ginginianus","pre2000",8
"Acridotheres grandis","2000-2006",1
"Acridotheres grandis","2014",4
"Acridotheres grandis","2015",10
"Acridotheres grandis","2016",16
"Acridotheres grandis","2017",11
"Acridotheres grandis","2018",22
"Acridotheres grandis","2019",21
"Acridotheres grandis","2020",21
"Acridotheres grandis","2021",41
"Acridotheres grandis","2022",35
"Acridotheres grandis","pre2000",4
"Acridotheres tristis","2000-2006",55
"Acridotheres tristis","2007-2010",90
"Acridotheres tristis","2011-2012",110
"Acridotheres tristis","2013",148
"Acridotheres tristis","2014",383
"Acridotheres tristis","2015",581
"Acridotheres tristis","2016",780
"Acridotheres tristis","2017",1023
"Acridotheres tristis","2018",1047
"Acridotheres tristis","2019",1275
"Acridotheres tristis","2020",1336
"Acridotheres tristis","2021",1533
"Acridotheres tristis","2022",1419
"Acridotheres tristis","pre2000",68
"Acrocephalus agricola","2000-2006",3
"Acrocephalus agricola","2007-2010",5
"Acrocephalus agricola","2011-2012",5
"Acrocephalus agricola","2013",9
"Acrocephalus agricola","2014",11
"Acrocephalus agricola","2015",19
"Acrocephalus agricola","2016",35
"Acrocephalus agricola","2017",43
"Acrocephalus agricola","2018",44
"Acrocephalus agricola","2019",49
"Acrocephalus agricola","2020",63
"Acrocephalus agricola","2021",65
"Acrocephalus agricola","2022",39
"Acrocephalus agricola","pre2000",2
"Acrocephalus bistrigiceps","2015",1
"Acrocephalus bistrigiceps","2018",2
"Acrocephalus bistrigiceps","2019",2
"Acrocephalus bistrigiceps","2020",2
"Acrocephalus bistrigiceps","2021",4
"Acrocephalus bistrigiceps","2022",2
"Acrocephalus concinens","2015",2
"Acrocephalus concinens","2019",1
"Acrocephalus concinens","2021",2
"Acrocephalus dumetorum","2000-2006",19
"Acrocephalus dumetorum","2007-2010",34
"Acrocephalus dumetorum","2011-2012",40
"Acrocephalus dumetorum","2013",43
"Acrocephalus dumetorum","2014",104
"Acrocephalus dumetorum","2015",168
"Acrocephalus dumetorum","2016",263
"Acrocephalus dumetorum","2017",307
"Acrocephalus dumetorum","2018",355
"Acrocephalus dumetorum","2019",409
"Acrocephalus dumetorum","2020",453
"Acrocephalus dumetorum","2021",496
"Acrocephalus dumetorum","2022",364
"Acrocephalus dumetorum","pre2000",27
"Acrocephalus melanopogon","2011-2012",1
"Acrocephalus melanopogon","2014",1
"Acrocephalus melanopogon","2015",3
"Acrocephalus melanopogon","2016",2
"Acrocephalus melanopogon","2017",1
"Acrocephalus melanopogon","2018",3
"Acrocephalus melanopogon","2019",4
"Acrocephalus melanopogon","2020",6
"Acrocephalus melanopogon","2021",3
"Acrocephalus melanopogon","2022",1
"Acrocephalus orientalis","2016",1
"Acrocephalus orientalis","2017",1
"Acrocephalus orientalis","2018",2
"Acrocephalus orientalis","2019",1
"Acrocephalus orientalis","2020",1
"Acrocephalus orientalis","2021",1
"Acrocephalus orientalis","2022",1
"Acrocephalus stentoreus","2000-2006",6
"Acrocephalus stentoreus","2007-2010",19
"Acrocephalus stentoreus","2011-2012",14
"Acrocephalus stentoreus","2013",19
"Acrocephalus stentoreus","2014",37
"Acrocephalus stentoreus","2015",60
"Acrocephalus stentoreus","2016",94
"Acrocephalus stentoreus","2017",120
"Acrocephalus stentoreus","2018",135
"Acrocephalus stentoreus","2019",171
"Acrocephalus stentoreus","2020",185
"Acrocephalus stentoreus","2021",197
"Acrocephalus stentoreus","2022",132
"Acrocephalus stentoreus","pre2000",11
"Actinodura cyanouroptera","2007-2010",1
"Actinodura cyanouroptera","2011-2012",1
"Actinodura cyanouroptera","2013",3
"Actinodura cyanouroptera","2014",3
"Actinodura cyanouroptera","2015",11
"Actinodura cyanouroptera","2016",9
"Actinodura cyanouroptera","2017",13
"Actinodura cyanouroptera","2018",13
"Actinodura cyanouroptera","2019",21
"Actinodura cyanouroptera","2020",12
"Actinodura cyanouroptera","2021",30
"Actinodura cyanouroptera","2022",37
"Actinodura egertoni","2013",2
"Actinodura egertoni","2014",1
"Actinodura egertoni","2015",6
"Actinodura egertoni","2016",7
"Actinodura egertoni","2017",2
"Actinodura egertoni","2018",7
"Actinodura egertoni","2019",8
"Actinodura egertoni","2020",2
"Actinodura egertoni","2021",14
"Actinodura egertoni","2022",19
"Actinodura nipalensis","2015",1
"Actinodura nipalensis","2016",1
"Actinodura nipalensis","2017",1
"Actinodura nipalensis","2018",3
"Actinodura nipalensis","2019",7
"Actinodura nipalensis","2020",4
"Actinodura nipalensis","2021",6
"Actinodura nipalensis","2022",6
"Actinodura strigula","2013",3
"Actinodura strigula","2014",3
"Actinodura strigula","2015",7
"Actinodura strigula","2016",6
"Actinodura strigula","2017",8
"Actinodura strigula","2018",19
"Actinodura strigula","2019",17
"Actinodura strigula","2020",12
"Actinodura strigula","2021",29
"Actinodura strigula","2022",23
"Actinodura waldeni","2013",3
"Actinodura waldeni","2014",1
"Actinodura waldeni","2015",3
"Actinodura waldeni","2016",1
"Actinodura waldeni","2018",2
"Actinodura waldeni","2019",3
"Actinodura waldeni","2020",1
"Actinodura waldeni","2021",3
"Actinodura waldeni","2022",2
"Actitis hypoleucos","2000-2006",21
"Actitis hypoleucos","2007-2010",48
"Actitis hypoleucos","2011-2012",50
"Actitis hypoleucos","2013",67
"Actitis hypoleucos","2014",132
"Actitis hypoleucos","2015",225
"Actitis hypoleucos","2016",308
"Actitis hypoleucos","2017",373
"Actitis hypoleucos","2018",434
"Actitis hypoleucos","2019",474
"Actitis hypoleucos","2020",529
"Actitis hypoleucos","2021",628
"Actitis hypoleucos","2022",450
"Actitis hypoleucos","pre2000",33
"Aegithalos concinnus","2000-2006",1
"Aegithalos concinnus","2007-2010",3
"Aegithalos concinnus","2011-2012",3
"Aegithalos concinnus","2013",5
"Aegithalos concinnus","2014",7
"Aegithalos concinnus","2015",16
"Aegithalos concinnus","2016",24
"Aegithalos concinnus","2017",50
"Aegithalos concinnus","2018",47
"Aegithalos concinnus","2019",58
"Aegithalos concinnus","2020",50
"Aegithalos concinnus","2021",63
"Aegithalos concinnus","2022",58
"Aegithalos iouschistos","2014",1
"Aegithalos iouschistos","2015",2
"Aegithalos iouschistos","2017",3
"Aegithalos iouschistos","2018",1
"Aegithalos iouschistos","2019",5
"Aegithalos iouschistos","2020",2
"Aegithalos iouschistos","2021",3
"Aegithalos iouschistos","2022",4
"Aegithalos niveogularis","2016",2
"Aegithalos niveogularis","2017",1
"Aegithalos niveogularis","2018",2
"Aegithalos niveogularis","2019",1
"Aegithalos niveogularis","2020",1
"Aegithalos niveogularis","2021",1
"Aegithalos niveogularis","2022",1
"Aegithina nigrolutea","2000-2006",1
"Aegithina nigrolutea","2014",2
"Aegithina nigrolutea","2015",3
"Aegithina nigrolutea","2016",6
"Aegithina nigrolutea","2017",5
"Aegithina nigrolutea","2018",15
"Aegithina nigrolutea","2019",21
"Aegithina nigrolutea","2020",10
"Aegithina nigrolutea","2021",22
"Aegithina nigrolutea","2022",18
"Aegithina tiphia","2000-2006",33
"Aegithina tiphia","2007-2010",47
"Aegithina tiphia","2011-2012",42
"Aegithina tiphia","2013",46
"Aegithina tiphia","2014",140
"Aegithina tiphia","2015",222
"Aegithina tiphia","2016",290
"Aegithina tiphia","2017",354
"Aegithina tiphia","2018",412
"Aegithina tiphia","2019",489
"Aegithina tiphia","2020",536
"Aegithina tiphia","2021",669
"Aegithina tiphia","2022",576
"Aegithina tiphia","pre2000",31
"Aegypius monachus","2000-2006",1
"Aegypius monachus","2007-2010",1
"Aegypius monachus","2013",2
"Aegypius monachus","2014",2
"Aegypius monachus","2015",7
"Aegypius monachus","2016",11
"Aegypius monachus","2017",16
"Aegypius monachus","2018",13
"Aegypius monachus","2019",16
"Aegypius monachus","2020",20
"Aegypius monachus","2021",24
"Aegypius monachus","2022",18
"Aegypius monachus","pre2000",1
"Aerodramus brevirostris","2007-2010",3
"Aerodramus brevirostris","2013",2
"Aerodramus brevirostris","2014",5
"Aerodramus brevirostris","2015",15
"Aerodramus brevirostris","2016",10
"Aerodramus brevirostris","2017",14
"Aerodramus brevirostris","2018",19
"Aerodramus brevirostris","2019",28
"Aerodramus brevirostris","2020",12
"Aerodramus brevirostris","2021",31
"Aerodramus brevirostris","2022",31
"Aerodramus fuciphagus","2011-2012",1
"Aerodramus fuciphagus","2015",2
"Aerodramus fuciphagus","2016",2
"Aerodramus fuciphagus","2017",1
"Aerodramus fuciphagus","2018",2
"Aerodramus fuciphagus","2019",7
"Aerodramus fuciphagus","2020",3
"Aerodramus fuciphagus","2021",5
"Aerodramus fuciphagus","2022",7
"Aerodramus unicolor","2000-2006",3
"Aerodramus unicolor","2007-2010",2
"Aerodramus unicolor","2011-2012",3
"Aerodramus unicolor","2013",6
"Aerodramus unicolor","2014",11
"Aerodramus unicolor","2015",40
"Aerodramus unicolor","2016",40
"Aerodramus unicolor","2017",49
"Aerodramus unicolor","2018",68
"Aerodramus unicolor","2019",66
"Aerodramus unicolor","2020",61
"Aerodramus unicolor","2021",64
"Aerodramus unicolor","2022",58
"Aerodramus unicolor","pre2000",1
"Aethopyga gouldiae","2011-2012",1
"Aethopyga gouldiae","2013",5
"Aethopyga gouldiae","2014",2
"Aethopyga gouldiae","2015",5
"Aethopyga gouldiae","2016",6
"Aethopyga gouldiae","2017",9
"Aethopyga gouldiae","2018",14
"Aethopyga gouldiae","2019",17
"Aethopyga gouldiae","2020",6
"Aethopyga gouldiae","2021",10
"Aethopyga gouldiae","2022",18
"Aethopyga ignicauda","2013",2
"Aethopyga ignicauda","2014",2
"Aethopyga ignicauda","2015",2
"Aethopyga ignicauda","2016",7
"Aethopyga ignicauda","2017",7
"Aethopyga ignicauda","2018",10
"Aethopyga ignicauda","2019",18
"Aethopyga ignicauda","2020",7
"Aethopyga ignicauda","2021",16
"Aethopyga ignicauda","2022",17
"Aethopyga nipalensis","2007-2010",1
"Aethopyga nipalensis","2013",8
"Aethopyga nipalensis","2014",5
"Aethopyga nipalensis","2015",14
"Aethopyga nipalensis","2016",15
"Aethopyga nipalensis","2017",16
"Aethopyga nipalensis","2018",20
"Aethopyga nipalensis","2019",26
"Aethopyga nipalensis","2020",21
"Aethopyga nipalensis","2021",35
"Aethopyga nipalensis","2022",27
"Aethopyga saturata","2013",2
"Aethopyga saturata","2014",1
"Aethopyga saturata","2015",13
"Aethopyga saturata","2016",8
"Aethopyga saturata","2017",8
"Aethopyga saturata","2018",19
"Aethopyga saturata","2019",17
"Aethopyga saturata","2020",12
"Aethopyga saturata","2021",25
"Aethopyga saturata","2022",30
"Aethopyga siparaja","2007-2010",3
"Aethopyga siparaja","2011-2012",3
"Aethopyga siparaja","2013",2
"Aethopyga siparaja","2014",6
"Aethopyga siparaja","2015",19
"Aethopyga siparaja","2016",39
"Aethopyga siparaja","2017",56
"Aethopyga siparaja","2018",62
"Aethopyga siparaja","2019",74
"Aethopyga siparaja","2020",69
"Aethopyga siparaja","2021",94
"Aethopyga siparaja","2022",87
"Aethopyga siparaja","pre2000",1
"Aethopyga vigorsii","2007-2010",2
"Aethopyga vigorsii","2011-2012",2
"Aethopyga vigorsii","2013",5
"Aethopyga vigorsii","2014",13
"Aethopyga vigorsii","2015",11
"Aethopyga vigorsii","2016",21
"Aethopyga vigorsii","2017",24
"Aethopyga vigorsii","2018",20
"Aethopyga vigorsii","2019",34
"Aethopyga vigorsii","2020",37
"Aethopyga vigorsii","2021",44
"Aethopyga vigorsii","2022",38
"Aethopyga vigorsii","pre2000",1
"Agraphospiza rubescens","2022",2
"Agropsar sturninus","2015",1
"Agropsar sturninus","2017",2
"Agropsar sturninus","2018",1
"Agropsar sturninus","2019",2
"Agropsar sturninus","2020",1
"Agropsar sturninus","2021",1
"Agropsar sturninus","2022",2
"Aix galericulata","2021",2
"Aix galericulata","2022",1
"Alaemon alaudipes","2016",1
"Alaemon alaudipes","2017",1
"Alaemon alaudipes","2018",2
"Alaemon alaudipes","2019",1
"Alaemon alaudipes","2021",2
"Alaemon alaudipes","2022",1
"Alauda arvensis","2016",1
"Alauda arvensis","2017",1
"Alauda arvensis","2018",1
"Alauda arvensis","2019",2
"Alauda arvensis","2020",2
"Alauda arvensis","2021",12
"Alauda arvensis","2022",10
"Alauda gulgula","2000-2006",10
"Alauda gulgula","2007-2010",9
"Alauda gulgula","2011-2012",12
"Alauda gulgula","2013",12
"Alauda gulgula","2014",14
"Alauda gulgula","2015",29
"Alauda gulgula","2016",46
"Alauda gulgula","2017",66
"Alauda gulgula","2018",75
"Alauda gulgula","2019",88
"Alauda gulgula","2020",107
"Alauda gulgula","2021",82
"Alauda gulgula","2022",79
"Alauda gulgula","pre2000",9
"Alaudala raytal","2000-2006",1
"Alaudala raytal","2007-2010",1
"Alaudala raytal","2011-2012",2
"Alaudala raytal","2013",4
"Alaudala raytal","2014",3
"Alaudala raytal","2015",2
"Alaudala raytal","2016",8
"Alaudala raytal","2017",11
"Alaudala raytal","2018",15
"Alaudala raytal","2019",23
"Alaudala raytal","2020",25
"Alaudala raytal","2021",25
"Alaudala raytal","2022",24
"Alaudala raytal","pre2000",1
"Alcedo atthis","2000-2006",24
"Alcedo atthis","2007-2010",50
"Alcedo atthis","2011-2012",55
"Alcedo atthis","2013",62
"Alcedo atthis","2014",168
"Alcedo atthis","2015",234
"Alcedo atthis","2016",327
"Alcedo atthis","2017",396
"Alcedo atthis","2018",477
"Alcedo atthis","2019",528
"Alcedo atthis","2020",613
"Alcedo atthis","2021",739
"Alcedo atthis","2022",602
"Alcedo atthis","pre2000",32
"Alcedo hercules","2015",2
"Alcedo hercules","2019",2
"Alcedo hercules","2020",1
"Alcedo hercules","2022",1
"Alcedo meninting","2007-2010",1
"Alcedo meninting","2011-2012",1
"Alcedo meninting","2013",4
"Alcedo meninting","2014",3
"Alcedo meninting","2015",6
"Alcedo meninting","2016",11
"Alcedo meninting","2017",12
"Alcedo meninting","2018",17
"Alcedo meninting","2019",16
"Alcedo meninting","2020",18
"Alcedo meninting","2021",23
