"scientific_name","timePeriod","n_grids"
"Abroscopus albogularis","2000-2006",6
"Abroscopus albogularis","2007-2010",3
"Abroscopus albogularis","2011-2012",4
"Abroscopus albogularis","2013",4
"Abroscopus albogularis","2014",2
"Abroscopus albogularis","2015",6
"Abroscopus albogularis","2016",7
"Abroscopus albogularis","2017",9
"Abroscopus albogularis","2018",13
"Abroscopus albogularis","2019",9
"Abroscopus albogularis","2020",10
"Abroscopus albogularis","2021",11
"Abroscopus albogularis","2022",15
"Abroscopus albogularis","pre2000",2
"Abroscopus schisticeps","2000-2006",8
"Abroscopus schisticeps","2007-2010",10
"Abroscopus schisticeps","2011-2012",11
"Abroscopus schisticeps","2013",9
"Abroscopus schisticeps","2014",16
"Abroscopus schisticeps","2015",19
"Abroscopus schisticeps","2016",22
"Abroscopus schisticeps","2017",33
"Abroscopus schisticeps","2018",34
"Abroscopus schisticeps","2019",36
"Abroscopus schisticeps","2020",26
"Abroscopus schisticeps","2021",46
"Abroscopus schisticeps","2022",40
"Abroscopus schisticeps","pre2000",3
"Abroscopus superciliaris","2000-2006",4
"Abroscopus superciliaris","2007-2010",3
"Abroscopus superciliaris","2011-2012",9
"Abroscopus superciliaris","2013",7
"Abroscopus superciliaris","2014",14
"Abroscopus superciliaris","2015",18
"Abroscopus superciliaris","2016",20
"Abroscopus superciliaris","2017",24
"Abroscopus superciliaris","2018",24
"Abroscopus superciliaris","2019",33
"Abroscopus superciliaris","2020",24
"Abroscopus superciliaris","2021",53
"Abroscopus superciliaris","2022",40
"Abroscopus superciliaris","pre2000",3
"Accipiter badius","2000-2006",125
"Accipiter badius","2007-2010",206
"Accipiter badius","2011-2012",264
"Accipiter badius","2013",245
"Accipiter badius","2014",527
"Accipiter badius","2015",710
"Accipiter badius","2016",875
"Accipiter badius","2017",1056
"Accipiter badius","2018",1199
"Accipiter badius","2019",1347
"Accipiter badius","2020",1380
"Accipiter badius","2021",1644
"Accipiter badius","2022",1512
"Accipiter badius","pre2000",119
"Accipiter butleri","2011-2012",1
"Accipiter butleri","2019",1
"Accipiter butleri","2021",2
"Accipiter butleri","2022",1
"Accipiter gentilis","2000-2006",3
"Accipiter gentilis","2013",1
"Accipiter gentilis","2014",1
"Accipiter gentilis","2015",4
"Accipiter gentilis","2016",3
"Accipiter gentilis","2017",5
"Accipiter gentilis","2018",11
"Accipiter gentilis","2019",8
"Accipiter gentilis","2020",7
"Accipiter gentilis","2021",9
"Accipiter gentilis","2022",7
"Accipiter gentilis","pre2000",2
"Accipiter gularis","2016",2
"Accipiter gularis","2017",3
"Accipiter gularis","2019",3
"Accipiter gularis","2021",1
"Accipiter gularis","2022",1
"Accipiter nisus","2000-2006",32
"Accipiter nisus","2007-2010",38
"Accipiter nisus","2011-2012",44
"Accipiter nisus","2013",40
"Accipiter nisus","2014",64
"Accipiter nisus","2015",90
"Accipiter nisus","2016",161
"Accipiter nisus","2017",186
"Accipiter nisus","2018",230
"Accipiter nisus","2019",257
"Accipiter nisus","2020",323
"Accipiter nisus","2021",346
"Accipiter nisus","2022",249
"Accipiter nisus","pre2000",31
"Accipiter soloensis","2015",3
"Accipiter soloensis","2016",1
"Accipiter soloensis","2017",4
"Accipiter soloensis","2018",3
"Accipiter soloensis","2019",6
"Accipiter soloensis","2020",4
"Accipiter soloensis","2021",5
"Accipiter soloensis","2022",4
"Accipiter trivirgatus","2000-2006",25
"Accipiter trivirgatus","2007-2010",42
"Accipiter trivirgatus","2011-2012",34
"Accipiter trivirgatus","2013",30
"Accipiter trivirgatus","2014",52
"Accipiter trivirgatus","2015",83
"Accipiter trivirgatus","2016",102
"Accipiter trivirgatus","2017",104
"Accipiter trivirgatus","2018",120
"Accipiter trivirgatus","2019",123
"Accipiter trivirgatus","2020",140
"Accipiter trivirgatus","2021",165
"Accipiter trivirgatus","2022",149
"Accipiter trivirgatus","pre2000",18
"Accipiter virgatus","2000-2006",25
"Accipiter virgatus","2007-2010",29
"Accipiter virgatus","2011-2012",25
"Accipiter virgatus","2013",10
"Accipiter virgatus","2014",19
