"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2014",8.74136726795155,6.05196107228423e-06,"two.sided","q","Holm","Games-Howell"
"2000-2006","2015",11.9580890428504,5.21662713026672e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",13.4639784128051,3.33753025216765e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",16.0412838998233,7.99360577730113e-12,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",16.4989320773154,7.99360577730113e-12,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",17.205658485461,5.69555513862952e-12,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",20.3121381508698,1.53144164016794e-12,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",19.7844491958007,2.6700863742235e-12,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",19.0098390186752,2.69284594622832e-12,"two.sided","q","Holm","Games-Howell"
"2007-2010","2014",10.4347057826345,1.56000745654694e-09,"two.sided","q","Holm","Games-Howell"
"2007-2010","2015",14.8692268342359,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2016",17.2091278356062,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2017",20.9174364133385,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",21.646968235622,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",22.9841966430605,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",26.877274112685,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",26.6946904489211,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",25.680945124592,5.49328360577306e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2014",12.7414974115075,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2015",17.6616713030819,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",20.4224864164549,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",24.5846488149605,2.92543766988729e-12,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",25.4476254305125,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",27.1543437215806,1.22346577313692e-11,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",31.1327686713571,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",31.2901071086656,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",30.2274450389829,2.6700863742235e-12,"two.sided","q","Holm","Games-Howell"
"2013","2014",8.58851455998531,6.01651134102266e-06,"two.sided","q","Holm","Games-Howell"
"2013","2015",12.8765051375408,0,"two.sided","q","Holm","Games-Howell"
"2013","2016",15.075002584529,1.69977365516161e-11,"two.sided","q","Holm","Games-Howell"
"2013","2017",18.6715807946697,1.10089715121831e-12,"two.sided","q","Holm","Games-Howell"
"2013","2018",19.3632517782031,2.16733297975225e-11,"two.sided","q","Holm","Games-Howell"
"2013","2019",20.5881834542917,0,"two.sided","q","Holm","Games-Howell"
"2013","2020",24.5185506464301,0,"two.sided","q","Holm","Games-Howell"
"2013","2021",24.2160902967827,0,"two.sided","q","Holm","Games-Howell"
"2013","2022",23.2016928264198,0,"two.sided","q","Holm","Games-Howell"
"2014","2017",8.97437802506243,1.00349055487392e-06,"two.sided","q","Holm","Games-Howell"
"2014","2018",9.56065030018096,7.49916888587165e-08,"two.sided","q","Holm","Games-Howell"
"2014","2019",10.4397967033127,1.10163433930666e-09,"two.sided","q","Holm","Games-Howell"
"2014","2020",14.7026287357433,0,"two.sided","q","Holm","Games-Howell"
"2014","2021",13.9675463005801,0,"two.sided","q","Holm","Games-Howell"
"2014","2022",12.8975326819983,0,"two.sided","q","Holm","Games-Howell"
"2015","2019",6.47674049483793,0.0138506444607193,"two.sided","q","Holm","Games-Howell"
"2015","2020",11.1230995789245,1.77438064241642e-09,"two.sided","q","Holm","Games-Howell"
"2015","2021",10.2055754610363,5.49328360577306e-09,"two.sided","q","Holm","Games-Howell"
"2015","2022",9.04522105273296,7.02887347991954e-07,"two.sided","q","Holm","Games-Howell"
"2016","2020",10.0500022490707,0,"two.sided","q","Holm","Games-Howell"
"2016","2021",9.04498494608358,6.18731847978893e-07,"two.sided","q","Holm","Games-Howell"
"2016","2022",7.79390320470891,0.000122384782138552,"two.sided","q","Holm","Games-Howell"
"2017","2020",6.59039047872551,0.00956679762202306,"two.sided","q","Holm","Games-Howell"
"2018","2020",6.10366486289567,0.0429975672771832,"two.sided","q","Holm","Games-Howell"
"pre2000","2014",9.45509987625486,2.7319403095305e-07,"two.sided","q","Holm","Games-Howell"
"pre2000","2015",12.8909892528807,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",14.5388079460376,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",17.3050380315452,3.74704711703089e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",17.8060242068587,4.73179273541291e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",18.6075699285009,4.38704628180631e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",21.8585461262025,4.32360813817922e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",21.3695992427223,3.84261511499062e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",20.5530896819182,3.28576055252938e-11,"two.sided","q","Holm","Games-Howell"
