"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2014",7.44234769767406,0.000444646504783375,"two.sided","q","Holm","Games-Howell"
"2000-2006","2015",12.184819092702,2.96668245525211e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",14.8342515670911,3.91082721762359e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",17.4214478912596,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",18.8550413444115,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",21.2894562432603,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",23.0397180259502,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",27.2509608254485,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",25.4528203028941,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2015",10.8743091468347,1.0167866548727e-10,"two.sided","q","Holm","Games-Howell"
"2007-2010","2016",13.7898096013707,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2017",16.6603294703375,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",18.2785563699704,0,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",21.0138620793998,7.07989222803462e-12,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",22.936023676238,4.76503281277019e-11,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",27.6646315091852,1.12380105221632e-11,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",25.6794074343344,1.12380105221632e-11,"two.sided","q","Holm","Games-Howell"
"2011-2012","2014",8.32249526052007,1.28068754401411e-05,"two.sided","q","Holm","Games-Howell"
"2011-2012","2015",14.1670236197087,2.18980034105698e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",17.3951337075859,2.80571343935776e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",20.7895264787435,2.54262988441667e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",22.8163667324307,1.57758250907136e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",26.0531471072313,8.69050387208858e-10,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",28.1017951033912,1.52228263328169e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",33.6075197257936,8.79556427690886e-10,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",31.435730042914,6.40556940822989e-10,"two.sided","q","Holm","Games-Howell"
"2013","2014",9.24977403914329,2.82291342967866e-07,"two.sided","q","Holm","Games-Howell"
"2013","2015",15.1101132513439,1.85154103160556e-09,"two.sided","q","Holm","Games-Howell"
"2013","2016",18.3357576805764,2.62201260703421e-09,"two.sided","q","Holm","Games-Howell"
"2013","2017",21.7645716517968,2.20831453123793e-09,"two.sided","q","Holm","Games-Howell"
"2013","2018",23.8250695895511,1.11539377734005e-09,"two.sided","q","Holm","Games-Howell"
"2013","2019",27.0837490589995,6.06033223604641e-10,"two.sided","q","Holm","Games-Howell"
"2013","2020",29.1160731788289,1.11539377734005e-09,"two.sided","q","Holm","Games-Howell"
"2013","2021",34.6422641260971,5.53038725925603e-10,"two.sided","q","Holm","Games-Howell"
"2013","2022",32.4792904432825,3.01786151624128e-10,"two.sided","q","Holm","Games-Howell"
"2014","2016",8.91971250514359,9.90869207795342e-07,"two.sided","q","Holm","Games-Howell"
"2014","2017",11.9916123069812,0,"two.sided","q","Holm","Games-Howell"
"2014","2018",13.7070289940714,0,"two.sided","q","Holm","Games-Howell"
"2014","2019",16.7321460779149,0,"two.sided","q","Holm","Games-Howell"
"2014","2020",18.9194488370291,0,"two.sided","q","Holm","Games-Howell"
"2014","2021",24.2153643070891,0,"two.sided","q","Holm","Games-Howell"
"2014","2022",21.9732215387828,0,"two.sided","q","Holm","Games-Howell"
"2015","2017",6.23388085229589,0.0224258762615115,"two.sided","q","Holm","Games-Howell"
"2015","2018",7.7883896631295,0.00010187713240184,"two.sided","q","Holm","Games-Howell"
"2015","2019",10.7504522804337,7.89980094673126e-08,"two.sided","q","Holm","Games-Howell"
"2015","2020",13.0723742840836,1.70299436774712e-07,"two.sided","q","Holm","Games-Howell"
"2015","2021",18.3644866370772,1.30010586518736e-07,"two.sided","q","Holm","Games-Howell"
"2015","2022",16.028924559073,5.18773378699322e-08,"two.sided","q","Holm","Games-Howell"
"2016","2019",7.09810062720201,0.00129120151776374,"two.sided","q","Holm","Games-Howell"
"2016","2020",9.47188236397477,9.90869207795342e-07,"two.sided","q","Holm","Games-Howell"
"2016","2021",14.6731176170372,9.2130898110554e-07,"two.sided","q","Holm","Games-Howell"
"2016","2022",12.3127818712707,7.87717334027604e-07,"two.sided","q","Holm","Games-Howell"
"2017","2020",6.84657753664814,0.00301977822888899,"two.sided","q","Holm","Games-Howell"
"2017","2021",12.2307308590476,7.87717334027604e-07,"two.sided","q","Holm","Games-Howell"
"2017","2022",9.74622748909151,1.04292478519952e-06,"two.sided","q","Holm","Games-Howell"
"2018","2021",11.2658829112046,0,"two.sided","q","Holm","Games-Howell"
"2018","2022",8.66840077026946,2.74297133984192e-06,"two.sided","q","Holm","Games-Howell"
"2019","2021",8.44587845545881,6.96258821353268e-06,"two.sided","q","Holm","Games-Howell"
"pre2000","2014",11.4461696989991,1.12380105221632e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2015",16.6498348833778,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",19.5101109275689,4.28421742526552e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",22.4912703997041,1.91546778438578e-12,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",24.2288290677339,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",27.0094043737123,1.12380105221632e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",28.8319545906999,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",33.5627489750953,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",31.6465287610921,3.91082721762359e-11,"two.sided","q","Holm","Games-Howell"
