"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2007-2010",7.94852549663172,0.000110725117154153,"two.sided","q","Holm","Games-Howell"
"2000-2006","2011-2012",6.31343097161262,0.0267896351691452,"two.sided","q","Holm","Games-Howell"
"2000-2006","2014",7.84314024625261,0.000159302866137079,"two.sided","q","Holm","Games-Howell"
"2000-2006","2015",10.8763308251925,0,"two.sided","q","Holm","Games-Howell"
"2000-2006","2016",12.818917897455,1.28540453836479e-08,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",14.6565972839821,2.9220612596248e-08,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",15.208946507545,2.38526937090811e-08,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",17.9550859840852,1.46336320838714e-08,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",19.6333021464616,1.83002243359098e-08,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",20.8387788177206,7.44576955646892e-09,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",20.8277205038562,8.86127471400044e-09,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",8.43265551286043,1.91087121514943e-05,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",10.2045673352978,2.60721566558431e-08,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",11.2653174947676,2.9220612596248e-08,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",11.2839814105764,2.9220612596248e-08,"two.sided","q","Holm","Games-Howell"
"2011-2012","2016",6.18987979274642,0.0371227116619717,"two.sided","q","Holm","Games-Howell"
"2011-2012","2017",7.99632794845412,9.17689414912104e-05,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",8.48165414419599,1.45985162178786e-05,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",11.3546297691715,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",13.2033358121847,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",14.4032811904105,0,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",14.4091169612251,0,"two.sided","q","Holm","Games-Howell"
"2013","2016",6.52134457943562,0.014700278463029,"two.sided","q","Holm","Games-Howell"
"2013","2017",8.24374641137296,3.91642267469905e-05,"two.sided","q","Holm","Games-Howell"
"2013","2018",8.70260865889737,6.72743799867703e-06,"two.sided","q","Holm","Games-Howell"
"2013","2019",11.4271958486352,2.29452883360182e-08,"two.sided","q","Holm","Games-Howell"
"2013","2020",13.1869076141894,2.60349208858202e-08,"two.sided","q","Holm","Games-Howell"
"2013","2021",14.3104123025967,1.46230694220151e-08,"two.sided","q","Holm","Games-Howell"
"2013","2022",14.3188710897181,1.60892454914574e-08,"two.sided","q","Holm","Games-Howell"
"2014","2017",7.65064757147807,0.000257911195939986,"two.sided","q","Holm","Games-Howell"
"2014","2018",8.21361841327277,3.47687481040415e-05,"two.sided","q","Holm","Games-Howell"
"2014","2019",11.4954782335611,0,"two.sided","q","Holm","Games-Howell"
"2014","2020",13.5800565608,0,"two.sided","q","Holm","Games-Howell"
"2014","2021",15.0060925491629,5.04432051684489e-11,"two.sided","q","Holm","Games-Howell"
"2014","2022",15.0012670418154,3.98259203393536e-12,"two.sided","q","Holm","Games-Howell"
"2015","2019",7.90344766783083,0.000107727746193609,"two.sided","q","Holm","Games-Howell"
"2015","2020",10.0838199839989,9.43955313914557e-09,"two.sided","q","Holm","Games-Howell"
"2015","2021",11.4655624029104,3.32534000335727e-12,"two.sided","q","Holm","Games-Howell"
"2015","2022",11.4762739522524,0,"two.sided","q","Holm","Games-Howell"
"2016","2020",8.03239091629403,6.48146035777675e-05,"two.sided","q","Holm","Games-Howell"
"2016","2021",9.41005821061306,1.81689577383182e-07,"two.sided","q","Holm","Games-Howell"
"2016","2022",9.43028112239273,1.68940013645091e-07,"two.sided","q","Holm","Games-Howell"
"2017","2020",6.3144119795605,0.0245475156314612,"two.sided","q","Holm","Games-Howell"
"2017","2021",7.72004085528338,0.000187823648198915,"two.sided","q","Holm","Games-Howell"
"2017","2022",7.74876801862808,0.00017257444158969,"two.sided","q","Holm","Games-Howell"
"2018","2020",6.09950975646523,0.04388225920259,"two.sided","q","Holm","Games-Howell"
"2018","2021",7.55834406440158,0.000322848661193809,"two.sided","q","Holm","Games-Howell"
"2018","2022",7.58736556411191,0.00029770677864116,"two.sided","q","Holm","Games-Howell"
"pre2000","2007-2010",10.5056484354966,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2011-2012",8.82136589594559,3.10978039419485e-06,"two.sided","q","Holm","Games-Howell"
"pre2000","2013",7.90355934008203,0.000127811817390855,"two.sided","q","Holm","Games-Howell"
"pre2000","2014",10.8930830534585,2.03764782824578e-10,"two.sided","q","Holm","Games-Howell"
"pre2000","2015",14.4739509673134,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",16.8450660321226,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",19.1937650055345,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",19.9986601627725,5.4284576833652e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",23.3920095065038,0,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",25.306867702422,2.15250040014325e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",26.9658697362368,2.05169214950729e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",26.9110750259204,3.4280356331351e-12,"two.sided","q","Holm","Games-Howell"
