"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2017",6.8220616758731,0.0186592202118563,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",7.36577959142194,0.00375440545955341,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",7.08807827781662,0.00886110970722243,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",8.30227254327681,0.000193914266219397,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",8.86696921154652,3.29802333967066e-05,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",7.183254653739,0.00637456530072322,"two.sided","q","Holm","Games-Howell"
"2013","2018",7.03186170054664,0.00966973669414561,"two.sided","q","Holm","Games-Howell"
"2013","2019",6.73666198787412,0.0227636930035569,"two.sided","q","Holm","Games-Howell"
"2013","2020",8.03904111396204,0.00041607177285663,"two.sided","q","Holm","Games-Howell"
"2013","2021",8.65653163881237,5.87842576089681e-05,"two.sided","q","Holm","Games-Howell"
"2013","2022",6.83510321894149,0.017153664018529,"two.sided","q","Holm","Games-Howell"
"2014","2018",7.01602797193296,0.00862539775893523,"two.sided","q","Holm","Games-Howell"
"2014","2019",6.70140297221715,0.0218445894796203,"two.sided","q","Holm","Games-Howell"
"2014","2020",8.12945730732321,0.000208114634188572,"two.sided","q","Holm","Games-Howell"
"2014","2021",8.83227438572853,1.78856639996283e-05,"two.sided","q","Holm","Games-Howell"
"2014","2022",6.78887674057321,0.017153664018529,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",7.51552289188631,0.00152629890561862,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",8.1589732092007,0.000158139340475483,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",7.85205802500557,0.000465056560088661,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",9.32275547396884,1.76286406472492e-06,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",10.0724497933919,8.74455596822088e-08,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",7.89155905864416,0.00041607177285663,"two.sided","q","Holm","Games-Howell"
