"group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test"
"2000-2006","2016",8.35949437651176,0.000102383096387881,"two.sided","q","Holm","Games-Howell"
"2000-2006","2017",8.59987988032424,4.55429392851592e-05,"two.sided","q","Holm","Games-Howell"
"2000-2006","2018",11.5434928810885,7.95026267041976e-10,"two.sided","q","Holm","Games-Howell"
"2000-2006","2019",11.699247137657,5.30512633822866e-10,"two.sided","q","Holm","Games-Howell"
"2000-2006","2020",12.9551366261728,1.10511599871188e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2021",12.1572402547565,7.51747553096038e-11,"two.sided","q","Holm","Games-Howell"
"2000-2006","2022",10.1568188538095,1.50285737632316e-07,"two.sided","q","Holm","Games-Howell"
"2007-2010","2018",8.6402063454106,2.58359564426769e-05,"two.sided","q","Holm","Games-Howell"
"2007-2010","2019",8.81487588669632,1.42678415560038e-05,"two.sided","q","Holm","Games-Howell"
"2007-2010","2020",10.3717201610372,2.55052279296564e-08,"two.sided","q","Holm","Games-Howell"
"2007-2010","2021",9.3902634622677,1.36307283860049e-06,"two.sided","q","Holm","Games-Howell"
"2007-2010","2022",7.00856394890352,0.00699519226519585,"two.sided","q","Holm","Games-Howell"
"2011-2012","2018",9.44256896060723,1.65896911719088e-06,"two.sided","q","Holm","Games-Howell"
"2011-2012","2019",9.59620140101282,1.02425722348087e-06,"two.sided","q","Holm","Games-Howell"
"2011-2012","2020",11.008798995854,2.84138479411666e-09,"two.sided","q","Holm","Games-Howell"
"2011-2012","2021",10.1179637286905,1.13510975618958e-07,"two.sided","q","Holm","Games-Howell"
"2011-2012","2022",7.96332230253261,0.000326827850589129,"two.sided","q","Holm","Games-Howell"
"2013","2016",8.26306847425073,0.000113149984843464,"two.sided","q","Holm","Games-Howell"
"2013","2017",8.53314955900087,4.50524528640139e-05,"two.sided","q","Holm","Games-Howell"
"2013","2018",11.8466329569938,1.01735286861526e-10,"two.sided","q","Holm","Games-Howell"
"2013","2019",12.0495228481451,5.4630966417335e-11,"two.sided","q","Holm","Games-Howell"
"2013","2020",13.3980540207502,6.33459951160376e-12,"two.sided","q","Holm","Games-Howell"
"2013","2021",12.5335339544471,1.16793241744517e-11,"two.sided","q","Holm","Games-Howell"
"2013","2022",10.2570974523866,6.4907972774364e-08,"two.sided","q","Holm","Games-Howell"
"2014","2018",6.74634601882627,0.0148255506394444,"two.sided","q","Holm","Games-Howell"
"2014","2019",6.86273871264756,0.0105897223085972,"two.sided","q","Holm","Games-Howell"
"2014","2020",8.42432353688385,4.9364835217891e-05,"two.sided","q","Holm","Games-Howell"
"2014","2021",7.45389308930218,0.00150826630668233,"two.sided","q","Holm","Games-Howell"
"2015","2020",7.16628092188071,0.00383592553117329,"two.sided","q","Holm","Games-Howell"
"pre2000","2016",8.36214420299352,6.50833365014591e-05,"two.sided","q","Holm","Games-Howell"
"pre2000","2017",8.63022424387327,2.49872895737857e-05,"two.sided","q","Holm","Games-Howell"
"pre2000","2018",11.9153759034608,4.33719726800064e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2019",12.1156648370899,3.34940963853114e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2020",13.4537930316915,1.51922918689706e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2021",12.5960951521636,1.62753144294925e-11,"two.sided","q","Holm","Games-Howell"
"pre2000","2022",10.3401288731687,2.86301158336499e-08,"two.sided","q","Holm","Games-Howell"
